title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Trantor: The Last Stormtrooper,,,,,,(1 reviews),Probe Software Ltd.,MIRROR Soft,1 user reviews,,"TITLE: Trantor: The Last Stormtrooper
GENRE: Action
DEVELOPER: Probe Software Ltd.
PUBLISHER: MIRROR Soft
RELEASE DATE: 14 Jan, 2020","14 Jan, 2020",Action Retro Side Scroller Platformer Sci-fi +,
Robosnow,,,,,,(1 reviews),Vitok,Vitok,1 user reviews,,"TITLE: Robosnow
GENRE: Racing
DEVELOPER: Vitok
PUBLISHER: Vitok
RELEASE DATE: 9 Sep, 2021","9 Sep, 2021",Racing Runner Third Person Singleplayer +,
Find the cubs,,,,,,(2 reviews),Ready To Play,Ready To Play,2 user reviews,,"TITLE: Find the cubs
GENRE: Casual, Indie
DEVELOPER: Ready To Play
PUBLISHER: Ready To Play
RELEASE DATE: 26 Jul, 2021","26 Jul, 2021",Casual Walking Simulator 3D 3D Vision Indie +,
Candy Snake Master,"2,39€",,,Play Free Demo,,,BD Studio Games,BD Studio Games,,,"TITLE: Candy Snake Master
GENRE: Action, Casual, Indie
DEVELOPER: BD Studio Games
PUBLISHER: BD Studio Games
RELEASE DATE: 31 Jan, 2018","31 Jan, 2018",Action Casual Indie Arcade +,
Crazy indian,,,,,,(4 reviews),Max Pedro,Louie Inc,4 user reviews,,"TITLE: Crazy indian
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Max Pedro
PUBLISHER: Louie Inc
RELEASE DATE: 20 Apr, 2021","20 Apr, 2021",Casual Adventure Arcade Platformer 2D +,
Cosmic Tank,,,,,,(1 reviews),Game Masterminds,Game Masterminds,1 user reviews,,"TITLE: Cosmic Tank
GENRE: Action, Indie, Early Access
DEVELOPER: Game Masterminds
PUBLISHER: Game Masterminds
FRANCHISE: Cosmic Games
RELEASE DATE: 7 Apr, 2021
EARLY ACCESS RELEASE DATE: 7 Apr, 2021","7 Apr, 2021",Early Access Action Arcade Singleplayer 3D +,10
Nuke Babysitter Simulator | Kim Edition,,,,,,(2 reviews),Invisible Man,Invisible Man,2 user reviews,,"TITLE: Nuke Babysitter Simulator | Kim Edition
GENRE: Action, Adventure, Casual, Indie, Simulation, Strategy
DEVELOPER: Invisible Man
PUBLISHER: Invisible Man
FRANCHISE: Nuke Babysitter
RELEASE DATE: 10 Dec, 2017","10 Dec, 2017",Strategy Action Adventure Indie Casual +,
Negative World,Bundle info,,,,,(8 reviews),Big Niche Games,N/A,8 user reviews,,"TITLE: Negative World
GENRE: Action, Adventure, Indie
DEVELOPER: Big Niche Games
PUBLISHER: N/A
RELEASE DATE: 21 Aug, 2018","21 Aug, 2018",Action Adventure Indie Puzzle Platformer 2D +,
"Abha ""Light on the Path""",,,,,,(8 reviews),Little Angel,Little Angel,8 user reviews,,"TITLE: Abha ""Light on the Path""
GENRE: Adventure, Indie
DEVELOPER: Little Angel
PUBLISHER: Little Angel
RELEASE DATE: 23 Oct, 2018","23 Oct, 2018",Adventure Indie Point & Click Retro 2D +,
El Taco Diablo,,,,,,,Manne Cederskoog,Manne Cederskoog,,,"TITLE: El Taco Diablo
GENRE: Action, Indie
DEVELOPER: Manne Cederskoog
PUBLISHER: Manne Cederskoog
RELEASE DATE: 10 Mar, 2019","10 Mar, 2019",Indie Action +,
