title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Fat Mask,,,,,,(18 reviews),Paper Cult,Paper Cult,Positive,,"TITLE: Fat Mask
GENRE: Action, Indie
DEVELOPER: Paper Cult
PUBLISHER: Paper Cult
RELEASE DATE: 15 May, 2017","15 May, 2017",Local Multiplayer Competitive Puzzle Platformer +,
Mavi's Journey,,,,,,(43 reviews),aburasobabiyori,DLsite,Positive,,"TITLE: Mavi's Journey
GENRE: Casual, Free to Play, Indie, RPG
DEVELOPER: aburasobabiyori
PUBLISHER: DLsite
RELEASE DATE: 19 Feb, 2018","19 Feb, 2018",Free to Play Casual RPG Indie Anime +,
Beat the Blitz,,,,,,(24 reviews),The Mill,Gatorade,Positive,,"TITLE: Beat the Blitz
GENRE: Action, Free to Play, Simulation, Sports
DEVELOPER: The Mill
PUBLISHER: Gatorade
RELEASE DATE: 1 Mar, 2018","1 Mar, 2018",Free to Play Simulation Sports Action VR +,
Perfect Fit - Totemland,,,,,,(15 reviews),Homiebear Studio,Homiebear Studio,Positive,,"TITLE: Perfect Fit - Totemland
GENRE: Casual, Indie
DEVELOPER: Homiebear Studio
PUBLISHER: Homiebear Studio
RELEASE DATE: 10 Nov, 2016","10 Nov, 2016",Indie Casual Puzzle 2D Touch-Friendly +,
Disco Destruction,,,,,,(48 reviews),Subjective Software UG,Subjective Software UG,Positive,,"TITLE: Disco Destruction
GENRE: Casual, Free to Play, Indie, Simulation
DEVELOPER: Subjective Software UG
PUBLISHER: Subjective Software UG
RELEASE DATE: 12 Dec, 2019","12 Dec, 2019",Indie Casual Simulation VR Free to Play +,
Krieg,,,,,,(26 reviews),Evan Davis,Castle Steps LLC,Positive,,"TITLE: Krieg
GENRE: Action, Indie, Early Access
DEVELOPER: Evan Davis, Bryce Davis, Gehrig Gosselin, BOT Jungle Productions
PUBLISHER: Castle Steps LLC, BOT Jungle Productions
RELEASE DATE: 22 Sep, 2017","22 Sep, 2017",Early Access Action Indie VR +,
Geneforge 3,Bundle info,,,,,(36 reviews),Spiderweb Software,Spiderweb Software,Positive,,"TITLE: Geneforge 3
GENRE: Strategy, RPG, Indie
DEVELOPER: Spiderweb Software
PUBLISHER: Spiderweb Software
RELEASE DATE: 1 Apr, 2005","1 Apr, 2005",RPG Indie Strategy Turn-Based Combat +,
Dawn's Light 2,,,,,,(13 reviews),John Wizard,John Wizard,Positive,,"TITLE: Dawn's Light 2
GENRE: Adventure, Indie, RPG, Strategy
DEVELOPER: John Wizard
PUBLISHER: John Wizard
RELEASE DATE: 8 Nov, 2016","8 Nov, 2016",Strategy Adventure RPG Indie RPGMaker +,
Joy Climb,,,,,,(22 reviews),SpeedLittleFox,ClickGames,Positive,,"TITLE: Joy Climb
GENRE: Action, Indie
DEVELOPER: SpeedLittleFox
PUBLISHER: ClickGames
RELEASE DATE: 2 Mar, 2018","2 Mar, 2018",Action Indie Casual Experimental Arcade +,
Outgun,,,,Free to Play,,(14 reviews),Fabiana Cecin,Onlumi.dev,Positive,,"TITLE: Outgun
GENRE: Action, Casual, Free to Play, Indie
DEVELOPER: Fabiana Cecin, Niko Ritari, Jani Rivinoja
PUBLISHER: Onlumi.dev
RELEASE DATE: 26 Mar, 2002","26 Mar, 2002",Arena Shooter Minimalist eSports Team-Based +,
HereAfter,,,,,,(31 reviews),Brown Studios,Brown Studios,Positive,,"TITLE: HereAfter
GENRE: Action, Adventure, Free to Play, Indie, Early Access
DEVELOPER: Brown Studios
PUBLISHER: Brown Studios
RELEASE DATE: 26 Oct, 2017","26 Oct, 2017",Free to Play Adventure Action Indie +,
Into The Core,,,,Free,,(39 reviews),Amnon Levi,Gemini Creative Games,Positive,,"TITLE: Into The Core
GENRE: Indie
DEVELOPER: Amnon Levi, Ben Chen, Bar Alon, Ofir Green
PUBLISHER: Gemini Creative Games
FRANCHISE: Crystal Realms
RELEASE DATE: 24 May, 2019","24 May, 2019",Indie Puzzle Difficult Puzzle Platformer +,
Prismatix,,,,Free to Play,,(22 reviews),Prisma Games L.L.C.,Prisma Games L.L.C.,Positive,,"TITLE: Prismatix
GENRE: Action, Casual, Indie
DEVELOPER: Prisma Games L.L.C.
PUBLISHER: Prisma Games L.L.C.
RELEASE DATE: 9 Mar, 2018","9 Mar, 2018",Action Casual Indie +,
HueBots,,,,Free to Play,,(39 reviews),Huebotics,Huebotics,Positive,,"TITLE: HueBots
GENRE: Casual, Free to Play, Indie, Strategy
DEVELOPER: Huebotics
PUBLISHER: Huebotics
RELEASE DATE: 26 Aug, 2015","26 Aug, 2015",Free to Play Casual Strategy Indie Puzzle +,
Appetite for Detestation,,,,Free,,(15 reviews),Team XS,Ahlman Games,Positive,,"TITLE: Appetite for Detestation
GENRE: Action
DEVELOPER: Team XS
PUBLISHER: Ahlman Games
RELEASE DATE: 19 May, 2021","19 May, 2021",Action Beat 'em up Action Roguelike 3D Dark +,
The Directed,,,,Free to Play,,(21 reviews),Magnolia Art,Magnolia Art,Positive,,"TITLE: The Directed
GENRE: Casual, Free to Play, Indie
DEVELOPER: Magnolia Art
PUBLISHER: Magnolia Art
RELEASE DATE: 7 Mar, 2018","7 Mar, 2018",Indie Casual Free to Play Difficult Puzzle +,
Fat Mask,,,,,,(18 reviews),Paper Cult,Paper Cult,Positive,,"TITLE: Fat Mask
GENRE: Action, Indie
DEVELOPER: Paper Cult
PUBLISHER: Paper Cult
RELEASE DATE: 15 May, 2017","15 May, 2017",Local Multiplayer Competitive Puzzle Platformer +,
Mavi's Journey,,,,,,(43 reviews),aburasobabiyori,DLsite,Positive,,"TITLE: Mavi's Journey
GENRE: Casual, Free to Play, Indie, RPG
DEVELOPER: aburasobabiyori
PUBLISHER: DLsite
RELEASE DATE: 19 Feb, 2018","19 Feb, 2018",Free to Play Casual RPG Indie Anime +,
QbQbQb,,,,,,(30 reviews),Rezoner,Rezoner,Positive,,"TITLE: QbQbQb
GENRE: Action, Casual, Indie
DEVELOPER: Rezoner
PUBLISHER: Rezoner
RELEASE DATE: 29 Oct, 2014","29 Oct, 2014",Action Casual Indie Music Great Soundtrack +,
散歩するキーボード使い,,,,,,(30 reviews),Sato Fumiya,Sato Fumiya,Positive,,"TITLE: 散歩するキーボード使い
GENRE: Free to Play, RPG
DEVELOPER: Sato Fumiya
PUBLISHER: Sato Fumiya
RELEASE DATE: 21 Nov, 2019","21 Nov, 2019",Free to Play RPG Typing Indie +,
Planet Diver,,,,,,(25 reviews),Fabraz,Fabraz,Positive,,"TITLE: Planet Diver
GENRE: Action, Indie
DEVELOPER: Fabraz
PUBLISHER: Fabraz
RELEASE DATE: 30 Nov, 2015","30 Nov, 2015",Indie Action Arcade Pixel Graphics Sci-fi +,
Clash of Puppets,,,,,,(13 reviews),Drakkar Dev,Crescent Moon Games,Positive,,"TITLE: Clash of Puppets
GENRE: Action, Indie
DEVELOPER: Drakkar Dev
PUBLISHER: Crescent Moon Games
RELEASE DATE: 16 Dec, 2014","16 Dec, 2014",Action Indie Vampire Horror +,
Way to Go!,,,,,,(10 reviews),Makivision Games,Makivision Games,Positive,,"TITLE: Way to Go!
GENRE: Indie
DEVELOPER: Makivision Games
PUBLISHER: Makivision Games
RELEASE DATE: 8 Jun, 2015","8 Jun, 2015",Indie Puzzle Casual +,
Red's Kingdom,,,,,,(14 reviews),Cobra Mobile,Cobra Mobile,Positive,,"TITLE: Red's Kingdom
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Cobra Mobile
PUBLISHER: Cobra Mobile
RELEASE DATE: 19 Jan, 2018","19 Jan, 2018",Adventure Casual Action Indie Puzzle +,
