title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Secret of Harrow Manor,Bundle info,,,,,(5 reviews),Only Human Studios,Only Human Studios,5 user reviews,,"TITLE: Secret of Harrow Manor
GENRE: Action, Indie
DEVELOPER: Only Human Studios
PUBLISHER: Only Human Studios
RELEASE DATE: 24 Apr, 2018","24 Apr, 2018",Action Indie Horror +,
Talk to Saki,,,,,,(6 reviews),Light,Nekomura Games,6 user reviews,,"TITLE: Talk to Saki
GENRE: Casual, Simulation
DEVELOPER: Light
PUBLISHER: Nekomura Games
FRANCHISE: Talk to...
RELEASE DATE: 19 Jan, 2018","19 Jan, 2018",Interactive Fiction Typing Casual Sports Cute +,
Angry Farm,Bundle info,,,,,(1 reviews),SAFING,Droid Riot,1 user reviews,,"TITLE: Angry Farm
GENRE: Action, Indie, Strategy
DEVELOPER: SAFING
PUBLISHER: Droid Riot
RELEASE DATE: 18 Jul, 2019
EARLY ACCESS RELEASE DATE: 28 Feb, 2019","18 Jul, 2019",Indie Strategy Action Arcade +,
The Mutineer,,,,,,(8 reviews),NOTH,NOTH,8 user reviews,,"TITLE: The Mutineer
GENRE: Action, Casual, Indie, Strategy
DEVELOPER: NOTH, Team One Ship
PUBLISHER: NOTH
RELEASE DATE: 26 Oct, 2020","26 Oct, 2020",Social Deduction Top-Down PvP Casual 2D +,
World Enduro Rally,,,,,,(4 reviews),GraphicDNA,GraphicDNA,4 user reviews,,"TITLE: World Enduro Rally
GENRE: Indie, Racing, Simulation, Sports
DEVELOPER: GraphicDNA
PUBLISHER: GraphicDNA
RELEASE DATE: 16 Nov, 2018","16 Nov, 2018",Motorbike Racing Sports Indie Simulation +,
Robot Vacuum Simulator X,,,,,,(3 reviews),Sebastian Røed Mangseth,Sebastian Røed Mangseth,3 user reviews,,"TITLE: Robot Vacuum Simulator X
GENRE: Indie, Simulation
DEVELOPER: Sebastian Røed Mangseth
PUBLISHER: Sebastian Røed Mangseth
RELEASE DATE: 16 Aug, 2019","16 Aug, 2019",Indie Simulation +,
Spirit of Revenge: Cursed Castle Collector's Edition,,,,,,(3 reviews),Vendel Games,Big Fish Games,3 user reviews,,"TITLE: Spirit of Revenge: Cursed Castle Collector's Edition
GENRE: Adventure, Casual
DEVELOPER: Vendel Games
PUBLISHER: Big Fish Games
RELEASE DATE: 2 Nov, 2016","2 Nov, 2016",Adventure Casual Hidden Object +,
Cube,,,,,,(1 reviews),ycyclop,ycyclop,1 user reviews,,"TITLE: Cube
GENRE: Action, Casual
DEVELOPER: ycyclop
PUBLISHER: ycyclop
RELEASE DATE: 12 Sep, 2021","12 Sep, 2021",Action Casual Shooter Bullet Hell 2D +,
Publisher Tycoon,,,,,,(9 reviews),14Dimension Enterprise,14Dimension Enterprise,9 user reviews,,"TITLE: Publisher Tycoon
GENRE: Casual, Simulation
DEVELOPER: 14Dimension Enterprise
PUBLISHER: 14Dimension Enterprise
RELEASE DATE: 28 Nov, 2016","28 Nov, 2016",Simulation Casual +,
Super Snow Fight,,,,,,(8 reviews),Patrick God,Patrick God,8 user reviews,,"TITLE: Super Snow Fight
GENRE: Action, Indie
DEVELOPER: Patrick God
PUBLISHER: Patrick God
RELEASE DATE: 24 Nov, 2015","24 Nov, 2015",Action Indie Snow Casual 4 Player Local +,
PuPaiPo Space Deluxe,,,,,,(4 reviews),BolHut,BolHut,4 user reviews,,"TITLE: PuPaiPo Space Deluxe
GENRE: Action, Casual, Indie
DEVELOPER: BolHut
PUBLISHER: BolHut
RELEASE DATE: 19 Dec, 2019","19 Dec, 2019",Arena Shooter Shoot 'Em Up Top-Down Shooter +,
Truefish,,,,,,(3 reviews),TiProg,-,3 user reviews,,"TITLE: Truefish
GENRE: Simulation, Sports
DEVELOPER: TiProg
PUBLISHER: -
RELEASE DATE: 10 Jul, 2019","10 Jul, 2019",Sports Simulation Fishing +,
Asterism Basketball,,,,,,(1 reviews),Tadeusz Lorkowski,Tadeusz Lorkowski,1 user reviews,,"TITLE: Asterism Basketball
GENRE: Indie, Sports
DEVELOPER: Tadeusz Lorkowski
PUBLISHER: Tadeusz Lorkowski
RELEASE DATE: 10 May, 2021","10 May, 2021",Sports Arcade 2D Colorful Minimalist +,
The Dark,,,,,,(6 reviews),Light Arc Studio Ltd,Light Arc Studio Ltd,6 user reviews,,"TITLE: The Dark
GENRE: Action, Adventure, Indie, Racing, Early Access
DEVELOPER: Light Arc Studio Ltd
PUBLISHER: Light Arc Studio Ltd
RELEASE DATE: 12 Apr, 2021
EARLY ACCESS RELEASE DATE: 12 Apr, 2021","12 Apr, 2021",Action Adventure Racing VR Story Rich +,
Hell Pub,"1,59€",,,,,(5 reviews),BJ Studio,BJ Studio,5 user reviews,,"TITLE: Hell Pub
GENRE: Adventure, Casual, Indie, RPG, Simulation, Strategy
DEVELOPER: BJ Studio
PUBLISHER: BJ Studio
RELEASE DATE: 1 Sep, 2020","1 Sep, 2020",Strategy Adventure RPG Casual Simulation +,
Hungry Fish Evolution,Bundle info,,,,,(6 reviews),Umnyasha Games,Umnyasha Games,6 user reviews,,"TITLE: Hungry Fish Evolution
GENRE: Action, Adventure, Casual, Indie, RPG, Simulation
DEVELOPER: Umnyasha Games
PUBLISHER: Umnyasha Games
RELEASE DATE: 11 Apr, 2018","11 Apr, 2018",Simulation Action RPG Indie Casual +,
DROP VR - AUDIO VISUALIZER,"2,99€",,,,,(4 reviews),lookcloser,lookcloser,4 user reviews,,"TITLE: DROP VR - AUDIO VISUALIZER
GENRE: Adventure, Casual, Indie, Simulation
DEVELOPER: lookcloser
PUBLISHER: lookcloser
RELEASE DATE: 2 Nov, 2017","2 Nov, 2017",Indie Casual Adventure Simulation VR +,
THE BRONX,"8,19€",,,,,,EquipoPGGama,EquipoPGGama,,,"TITLE: THE BRONX
GENRE: Indie
DEVELOPER: EquipoPGGama
PUBLISHER: EquipoPGGama
RELEASE DATE: 8 Aug, 2021","8 Aug, 2021",Exploration FPS Walking Simulator 3D Horror +,
Blue Boy: Bleeding Out,"3,29€",,,Download,,(5 reviews),Ben Renya,plufmot,5 user reviews,,"TITLE: Blue Boy: Bleeding Out
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Ben Renya
PUBLISHER: plufmot
RELEASE DATE: 18 Jun, 2020","18 Jun, 2020",Difficult Precision Platformer 2D Platformer 2D +,
Happy Grumps,,,,,,(2 reviews),Glenn LaBarre,Glenn LaBarre,2 user reviews,,"TITLE: Happy Grumps
GENRE: Indie, Strategy, Early Access
DEVELOPER: Glenn LaBarre, Drew Conley
PUBLISHER: Glenn LaBarre
RELEASE DATE: 17 Jul, 2020
EARLY ACCESS RELEASE DATE: 17 Jul, 2020","17 Jul, 2020",Dungeon Crawler Roguelite Retro Strategy +,
Party Host 85,,,,,,,Tim Rachor,Tim Rachor,,,"TITLE: Party Host 85
GENRE: Simulation
DEVELOPER: Tim Rachor
PUBLISHER: Tim Rachor
RELEASE DATE: 25 Jun, 2021","25 Jun, 2021",Simulation Life Sim 1980s Party Horror +,
