title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Magic Box,Bundle info,,,,,(28 reviews),Indie Games Studio,Enoops,Mixed,,"TITLE: Magic Box
GENRE: Adventure, Casual, Indie
DEVELOPER: Indie Games Studio
PUBLISHER: Enoops
FRANCHISE: Volens Nolens Games
RELEASE DATE: 19 Jan, 2017","19 Jan, 2017",Casual Indie Adventure Puzzle 2D Platformer +,
The Walking Fish 2: Final Frontier,,,,,,(177 reviews),That Fish,That Fish,Very Positive,,"TITLE: The Walking Fish 2: Final Frontier
GENRE: Adventure, Indie
DEVELOPER: That Fish, That Other Fish
PUBLISHER: That Fish, That Other Fish
FRANCHISE: The Walking Fish
RELEASE DATE: 1 Jun, 2020","1 Jun, 2020",Indie Adventure Horror Comedy Surreal +,
Shades of Rayna,,,,,,(122 reviews),QuickSave,QuickSave,Mostly Positive,,"TITLE: Shades of Rayna
GENRE: Action, Adventure, Free to Play, Indie, Early Access
DEVELOPER: QuickSave
PUBLISHER: QuickSave
RELEASE DATE: 10 May, 2021
EARLY ACCESS RELEASE DATE: 10 May, 2021","10 May, 2021",Action Adventure Action RPG Action-Adventure +,82
Royal Roads,Bundle info,,,,,(16 reviews),Studio Bidon Games,8floor,Mostly Positive,,"TITLE: Royal Roads
GENRE: Casual, Strategy
DEVELOPER: Studio Bidon Games
PUBLISHER: 8floor
RELEASE DATE: 23 Nov, 2018","23 Nov, 2018",Casual Strategy Time Management +,
Dungeon Deathball,Bundle info,,,,Very Positive,(74 reviews),Matt Glanville,Matt Glanville,Very Positive,(49 reviews),"TITLE: Dungeon Deathball
GENRE: Indie, RPG, Sports, Strategy
DEVELOPER: Matt Glanville
PUBLISHER: Matt Glanville
FRANCHISE: Matt Glanville
RELEASE DATE: 13 Oct, 2021
EARLY ACCESS RELEASE DATE: 6 Jul, 2018","13 Oct, 2021",Tactical Roguelite Turn-Based Tactics Arcade +,74
Miner Ultra Rag Smash,Bundle info,,,,,(15 reviews),Sinned Games,Sinned Games,Mostly Positive,,"TITLE: Miner Ultra Rag Smash
GENRE: Action, Casual, Indie, Sports
DEVELOPER: Sinned Games
PUBLISHER: Sinned Games
FRANCHISE: Sinned Games
RELEASE DATE: 4 Nov, 2020","4 Nov, 2020",Casual Sports 2D Fighter PvP Battle Royale +,
A.I.M.2 Clan Wars,,,,,,(339 reviews),SkyRiver Studios,1C Entertainment,Very Positive,,"TITLE: A.I.M.2 Clan Wars
GENRE: Action, RPG, Simulation
DEVELOPER: SkyRiver Studios
PUBLISHER: 1C Entertainment
RELEASE DATE: 18 Aug, 2007","18 Aug, 2007",RPG Simulation Action Open World Sci-fi +,
Puzzle Wishes,Bundle info,,,,,(22 reviews),RhinoGearz,RhinoGearz,Mixed,,"TITLE: Puzzle Wishes
GENRE: Casual, Simulation
DEVELOPER: RhinoGearz
PUBLISHER: RhinoGearz
RELEASE DATE: 25 Jan, 2017","25 Jan, 2017",Casual Simulation Nudity Dating Sim Puzzle +,
Castle Must Be Mine,"13,29€",,,,,(222 reviews),TheMiddleGray,TheMiddleGray,Very Positive,,"TITLE: Castle Must Be Mine
GENRE: Casual, Indie, Simulation, Strategy
DEVELOPER: TheMiddleGray
PUBLISHER: TheMiddleGray
RELEASE DATE: 13 Jul, 2018","13 Jul, 2018",Strategy Casual Indie Tower Defense VR +,
TOKYO WARFARE,,,,,,(298 reviews),Pablo Vidaurre Sanz,Pablo Vidaurre Sanz,Very Positive,,"TITLE: TOKYO WARFARE
GENRE: Action
DEVELOPER: Pablo Vidaurre Sanz
PUBLISHER: Pablo Vidaurre Sanz
RELEASE DATE: 29 Jul, 2016","29 Jul, 2016",Action Tanks Multiplayer Anime Funny +,
神舞幻想 Faith of Danschant,"27,99€",,,,Mixed,"(3,779 reviews)",北京九鳳信息科技有限公司,北京网元圣唐娱乐科技有限公司,Mixed,(44 reviews),"TITLE: 神舞幻想 Faith of Danschant
GENRE: RPG
DEVELOPER: 北京九鳳信息科技有限公司
PUBLISHER: 北京网元圣唐娱乐科技有限公司
RELEASE DATE: 21 Dec, 2017","21 Dec, 2017",RPG Turn-Based Singleplayer Story Rich +,
Lovely Planet 2: April Skies,Bundle info,,,,,(68 reviews),quicktequila,tinyBuild,Very Positive,,"TITLE: Lovely Planet 2: April Skies
GENRE: Action, Indie
DEVELOPER: quicktequila
PUBLISHER: tinyBuild
FRANCHISE: Lovely Planet, tinyBuild
RELEASE DATE: 18 Jun, 2019","18 Jun, 2019",Indie Action FPS Cute Great Soundtrack +,
The Bug Butcher,,,,,,(602 reviews),Awfully Nice Studios,Awfully Nice Studios,Very Positive,,"TITLE: The Bug Butcher
GENRE: Action, Indie
DEVELOPER: Awfully Nice Studios
PUBLISHER: Awfully Nice Studios
RELEASE DATE: 19 Jan, 2016","19 Jan, 2016",Indie Action Shoot 'Em Up Arcade Co-op +,
Smithy,,,,,,(50 reviews),David Mulder,SA Industry,Mostly Positive,,"TITLE: Smithy
GENRE: Action, Indie
DEVELOPER: David Mulder, Tristan Hartz
PUBLISHER: SA Industry
FRANCHISE: SA Industry
RELEASE DATE: 3 Jun, 2016","3 Jun, 2016",Action Indie +,
Hollow's Land,,,,,,(41 reviews),Relax Minimalism,Relax Minimalism,Mixed,,"TITLE: Hollow's Land
GENRE: Action, RPG, Early Access
DEVELOPER: Relax Minimalism
PUBLISHER: Relax Minimalism
RELEASE DATE: 23 Dec, 2014","23 Dec, 2014",Action RPG Early Access +,
Soundboxing,"13,29€",,,,,(548 reviews),Maxint LLC,Maxint LLC,Very Positive,,"TITLE: Soundboxing
GENRE: Indie
DEVELOPER: Maxint LLC
PUBLISHER: Maxint LLC
RELEASE DATE: 29 Sep, 2016","29 Sep, 2016",Indie VR Music Rhythm +,
Ninja Stealth 2,Bundle info,,,,,(325 reviews),SC Jogos,SC Jogos,Mixed,,"TITLE: Ninja Stealth 2
GENRE: Casual, Indie, Strategy
DEVELOPER: SC Jogos
PUBLISHER: SC Jogos
FRANCHISE: SC Jogos
RELEASE DATE: 30 Jan, 2017","30 Jan, 2017",Indie Strategy Casual Action-Adventure Ninja +,
Hearthlands,,,,,,(277 reviews),Sergio,Sergio,Very Positive,,"TITLE: Hearthlands
GENRE: Indie, Simulation, Strategy
DEVELOPER: Sergio
PUBLISHER: Sergio
RELEASE DATE: 28 Apr, 2017","28 Apr, 2017",City Builder Strategy Simulation Indie +,63
"Lux, City of Secrets","5,69€",,,Download,,(17 reviews),Hosted Games,Hosted Games,Mixed,,"TITLE: Lux, City of Secrets
GENRE: Adventure, Casual, Indie, RPG
DEVELOPER: Hosted Games
PUBLISHER: Hosted Games
RELEASE DATE: 6 May, 2021","6 May, 2021",RPG Interactive Fiction Casual Text-Based +,
Where the Bees Make Honey,Bundle info,,,,,(30 reviews),Wakefield Interactive,Whitethorn Digital,Mixed,,"TITLE: Where the Bees Make Honey
GENRE: Adventure, Indie, Simulation
DEVELOPER: Wakefield Interactive
PUBLISHER: Whitethorn Digital
RELEASE DATE: 26 Mar, 2019","26 Mar, 2019",Indie Adventure Simulation Female Protagonist +,
Bomb Chicken,,,,,,(199 reviews),Nitrome,Nitrome,Very Positive,,"TITLE: Bomb Chicken
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Nitrome
PUBLISHER: Nitrome
RELEASE DATE: 16 Apr, 2019","16 Apr, 2019",Action Indie Casual Adventure 2D +,
Aaero,"12,49€",,,,,(283 reviews),Mad Fellows,Mad Fellows,Very Positive,,"TITLE: Aaero
GENRE: Action, Indie
DEVELOPER: Mad Fellows
PUBLISHER: Mad Fellows
RELEASE DATE: 11 Apr, 2017","11 Apr, 2017",Indie Action Music Rhythm Great Soundtrack +,
3rd eye,,,,,,(224 reviews),3rd eye project,Sony Music Entertainment (Japan) Inc. / UNTIES,Very Positive,,"TITLE: 3rd eye
GENRE: Adventure
DEVELOPER: 3rd eye project
PUBLISHER: Sony Music Entertainment (Japan) Inc. / UNTIES
RELEASE DATE: 30 Sep, 2019","30 Sep, 2019",Adventure Faith Horror Psychological Horror +,
Urban Trial Playground,,,,,,(70 reviews),Tate Multimedia,Tate Multimedia,Mixed,,"TITLE: Urban Trial Playground
GENRE: Action, Casual, Indie, Racing, Sports
DEVELOPER: Tate Multimedia, Teyon
PUBLISHER: Tate Multimedia
FRANCHISE: Tate Multimedia
RELEASE DATE: 5 Apr, 2019","5 Apr, 2019",Sports Action Racing Indie Casual +,
Zombie Kill of the Week - Reborn,"17,99€",,,,,(602 reviews),Still Running,Merge Games,Very Positive,,"TITLE: Zombie Kill of the Week - Reborn
GENRE: Action, Indie
DEVELOPER: Still Running
PUBLISHER: Merge Games, Tagstar Games
RELEASE DATE: 13 Mar, 2015","13 Mar, 2015",Action Zombies Indie 2D Pixel Graphics +,
Mystic Diary - Hidden Object,,,,,,(20 reviews),SunRay Games,SunRay Games,Mixed,,"TITLE: Mystic Diary - Hidden Object
GENRE: Adventure, Casual
DEVELOPER: SunRay Games
PUBLISHER: SunRay Games
RELEASE DATE: 8 Dec, 2016","8 Dec, 2016",Adventure Casual Hidden Object +,
Season Match 3 - Curse of the Witch Crow,,,,,,(114 reviews),URSE Games,Buka Entertainment,Mostly Positive,,"TITLE: Season Match 3 - Curse of the Witch Crow
GENRE: Adventure, Casual
DEVELOPER: URSE Games
PUBLISHER: Buka Entertainment
RELEASE DATE: 23 Dec, 2010","23 Dec, 2010",Casual Adventure Match 3 Puzzle +,
Savant - Ascent,Bundle info,,,,,"(2,098 reviews)",D-Pad Studio,,Very Positive,,"TITLE: Savant - Ascent
GENRE: Action, Indie
DEVELOPER: D-Pad Studio
RELEASE DATE: 4 Dec, 2013","4 Dec, 2013",Action Indie Great Soundtrack Music Short +,
"URUZ ""Return of The Er Kishi""",,,,,,(313 reviews),Berzah Games,Berzah Games,Very Positive,,"TITLE: URUZ ""Return of The Er Kishi""
GENRE: Action, Adventure, Indie
DEVELOPER: Berzah Games
PUBLISHER: Berzah Games
RELEASE DATE: 2 Oct, 2020","2 Oct, 2020",Action-Adventure Pixel Graphics Platformer 2D +,
Ne no Kami: The Two Princess Knights of Kyoto,,,,,,(119 reviews),Kuro Irodoru Yomiji,Sekai Project,Very Positive,,"TITLE: Ne no Kami: The Two Princess Knights of Kyoto
GENRE: Adventure, Casual
DEVELOPER: Kuro Irodoru Yomiji
PUBLISHER: Sekai Project
FRANCHISE: Ne no Kami
RELEASE DATE: 26 Oct, 2016","26 Oct, 2016",Adventure Casual Visual Novel Sexual Content +,
Morels: The Hunt,,,,,,(106 reviews),Abrams Studios,Abrams Studios,Very Positive,,"TITLE: Morels: The Hunt
GENRE: Adventure, Casual, Indie, Simulation
DEVELOPER: Abrams Studios
PUBLISHER: Abrams Studios
RELEASE DATE: 15 Oct, 2019","15 Oct, 2019",Simulation Indie Casual Adventure Nature +,
Some Distant Memory,Bundle info,,,,,(135 reviews),Galvanic Games,Way Down Deep,Very Positive,,"TITLE: Some Distant Memory
GENRE: Adventure, Casual, Indie
DEVELOPER: Galvanic Games
PUBLISHER: Way Down Deep
FRANCHISE: Galvanic Games
RELEASE DATE: 14 Nov, 2019","14 Nov, 2019",Adventure Casual Indie Post-apocalyptic +,
Pop This Pop-It,,,,,,(13 reviews),VeryHardMemeStudio,VeryHardMemeStudio,Mostly Positive,,"TITLE: Pop This Pop-It
GENRE: Action, Indie
DEVELOPER: VeryHardMemeStudio
PUBLISHER: VeryHardMemeStudio
RELEASE DATE: 7 Aug, 2021","7 Aug, 2021",Action Clicker Rhythm Indie 2D Relaxing +,
Archon Classic,,,,,,(117 reviews),React Games,React Games,Very Positive,,"TITLE: Archon Classic
GENRE: Indie, Strategy
DEVELOPER: React Games
PUBLISHER: React Games
RELEASE DATE: 2 Nov, 2010","2 Nov, 2010",Strategy Indie Remake Retro Classic +,
Shan Gui II: Sweet Osmanthus II,Bundle info,,,,,(327 reviews),Magenta Factory,Magenta Factory,Very Positive,,"TITLE: Shan Gui II: Sweet Osmanthus II
GENRE: Adventure, Casual, Indie
DEVELOPER: Magenta Factory
PUBLISHER: Magenta Factory
FRANCHISE: Magenta Fairytales
RELEASE DATE: 15 Dec, 2018","15 Dec, 2018",Casual Visual Novel Female Protagonist Anime +,
Nihilumbra,Bundle info,,,,,"(2,137 reviews)",BeautiFun Games,BeautiFun Games,Very Positive,,"TITLE: Nihilumbra
GENRE: Adventure, Casual, Indie
DEVELOPER: BeautiFun Games
PUBLISHER: BeautiFun Games
RELEASE DATE: 25 Sep, 2013","25 Sep, 2013",Indie Adventure Platformer Puzzle Casual +,
WazHack,Bundle info,,,,,(489 reviews),Waz,Waz Games,Very Positive,,"TITLE: WazHack
GENRE: Action, Indie, RPG, Strategy
DEVELOPER: Waz
PUBLISHER: Waz Games
RELEASE DATE: 17 Feb, 2014","17 Feb, 2014",RPG Indie Roguelike Perma Death Strategy +,12
Lingering Fragrance,,,,,,(481 reviews),BLESTWORKS,BLESTWORKS,Very Positive,,"TITLE: Lingering Fragrance
GENRE: Adventure, Casual, Indie
DEVELOPER: BLESTWORKS
PUBLISHER: BLESTWORKS
RELEASE DATE: 10 Aug, 2018","10 Aug, 2018",Sexual Content Nudity Casual Indie Anime +,
Coffee flavor of love 咖啡甜恋,"-30%
3,29€
2,30€",,,,,(77 reviews),P.G.制作组,33ParadoX,Very Positive,,"TITLE: Coffee flavor of love 咖啡甜恋
GENRE: Adventure, Casual, Indie, RPG
DEVELOPER: P.G.制作组, V.P.TEAM
PUBLISHER: 33ParadoX
RELEASE DATE: 1 Feb, 2021","1 Feb, 2021",Casual Adventure RPG Interactive Fiction 2D +,
Out of the Park Baseball 20,,,,,,"(1,019 reviews)",Out of the Park Developments,Out of the Park Developments,Very Positive,,"TITLE: Out of the Park Baseball 20
GENRE: Indie, Simulation, Sports, Strategy
DEVELOPER: Out of the Park Developments
PUBLISHER: Out of the Park Developments
FRANCHISE: Out of the Park Baseball
RELEASE DATE: 22 Mar, 2019","22 Mar, 2019",Sports Simulation Strategy Indie Baseball +,
LOGistICAL: Chile,Bundle info,,,,,(12 reviews),Sacada,Sacada,Mostly Positive,,"TITLE: LOGistICAL: Chile
GENRE: Casual, Indie, Strategy
DEVELOPER: Sacada
PUBLISHER: Sacada
RELEASE DATE: 29 Sep, 2017","29 Sep, 2017",Casual Indie Strategy Puzzle Transportation +,
Beat Da Beat,,,,,,(415 reviews),2 players,Nekki Limited,Very Positive,,"TITLE: Beat Da Beat
GENRE: Indie
DEVELOPER: 2 players
PUBLISHER: Nekki Limited
RELEASE DATE: 10 Mar, 2016","10 Mar, 2016",Indie Bullet Hell Arcade Rhythm Music +,
Radiant Defense,,,,,,(93 reviews),Hexage,Hexage,Very Positive,,"TITLE: Radiant Defense
GENRE: Indie, Strategy
DEVELOPER: Hexage
PUBLISHER: Hexage
RELEASE DATE: 11 Jul, 2014","11 Jul, 2014",Strategy Indie Tower Defense +,
Making History: The Calm & the Storm,,,,,,(517 reviews),Muzzy Lane,Strategy First,Mostly Positive,,"TITLE: Making History: The Calm & the Storm
GENRE: Action, Strategy
DEVELOPER: Muzzy Lane
PUBLISHER: Strategy First
RELEASE DATE: 13 Mar, 2007","13 Mar, 2007",Strategy Action Grand Strategy World War II +,
Knockout Party,,,,,,(47 reviews),Toxic studio,Toxic studio,Mixed,,"TITLE: Knockout Party
GENRE: Action, Casual, Indie, Massively Multiplayer, Sports
DEVELOPER: Toxic studio
PUBLISHER: Toxic studio
RELEASE DATE: 15 May, 2020
EARLY ACCESS RELEASE DATE: 15 May, 2020","15 May, 2020",Action Casual Indie Multiplayer Funny 3D +,
Yi and the Thousand Moons,Bundle info,,,,,(117 reviews),David Su,David Su,Very Positive,,"TITLE: Yi and the Thousand Moons
GENRE: Adventure, Indie
DEVELOPER: David Su
PUBLISHER: David Su
RELEASE DATE: 24 Nov, 2017","24 Nov, 2017",Indie Adventure Music Female Protagonist +,
Knockout Party,,,,,,(47 reviews),Toxic studio,Toxic studio,Mixed,,"TITLE: Knockout Party
GENRE: Action, Casual, Indie, Massively Multiplayer, Sports
DEVELOPER: Toxic studio
PUBLISHER: Toxic studio
RELEASE DATE: 15 May, 2020
EARLY ACCESS RELEASE DATE: 15 May, 2020","15 May, 2020",Action Casual Indie Multiplayer Funny 3D +,
Yi and the Thousand Moons,Bundle info,,,,,(117 reviews),David Su,David Su,Very Positive,,"TITLE: Yi and the Thousand Moons
GENRE: Adventure, Indie
DEVELOPER: David Su
PUBLISHER: David Su
RELEASE DATE: 24 Nov, 2017","24 Nov, 2017",Indie Adventure Music Female Protagonist +,
Colorzzle,Bundle info,,,,,(93 reviews),Darong Studio,PsychoFlux Entertainment,Very Positive,,"TITLE: Colorzzle
GENRE: Casual, Indie
DEVELOPER: Darong Studio
PUBLISHER: PsychoFlux Entertainment
FRANCHISE: PsychoFlux Presents
RELEASE DATE: 10 Aug, 2018","10 Aug, 2018",Casual Indie Colorful Puzzle Cute +,
Before I Forget,Bundle info,,,,,(73 reviews),3-Fold Games,3-Fold Games,Very Positive,,"TITLE: Before I Forget
GENRE: Adventure, Casual, Indie
DEVELOPER: 3-Fold Games
PUBLISHER: 3-Fold Games
RELEASE DATE: 16 Jul, 2020","16 Jul, 2020",Indie Exploration Walking Simulator Adventure +,
ORCS,,,,,,(331 reviews),Pixel vs Pixel,Pixel vs Pixel,Very Positive,,"TITLE: ORCS
GENRE: Action, Adventure, Indie
DEVELOPER: Pixel vs Pixel
PUBLISHER: Pixel vs Pixel
RELEASE DATE: 20 May, 2016","20 May, 2016",Indie Adventure Action Pixel Graphics 2D +,
The Confines Of The Crown,Bundle info,,,,,(167 reviews),Hanako Games,Hanako Games,Very Positive,,"TITLE: The Confines Of The Crown
GENRE: Adventure, Indie
DEVELOPER: Hanako Games
PUBLISHER: Hanako Games
FRANCHISE: HanakoPublished
RELEASE DATE: 3 Apr, 2015","3 Apr, 2015",Visual Novel Female Protagonist Indie Otome +,
The Blind Prophet,,,,,,(139 reviews),ARS GOETIA,ARS GOETIA,Very Positive,,"TITLE: The Blind Prophet
GENRE: Adventure, Casual, Indie, RPG
DEVELOPER: ARS GOETIA
PUBLISHER: ARS GOETIA, Plug In Digital, Maple Whispering Limited
FRANCHISE: The Blind Prophet
RELEASE DATE: 5 Feb, 2020","5 Feb, 2020",Adventure Indie Casual RPG Point & Click +,
Think To Die 3,Bundle info,,,,,(72 reviews),FelGC.GamesDevelopment,FelGC.GamesDevelopment,Mostly Positive,,"TITLE: Think To Die 3
GENRE: Casual, Indie, Strategy
DEVELOPER: FelGC.GamesDevelopment
PUBLISHER: FelGC.GamesDevelopment
RELEASE DATE: 27 Mar, 2017","27 Mar, 2017",Casual Puzzle Strategy Indie 3D Platformer +,
MadGuns,,,,,Mixed,(361 reviews),Novalink,Novalink,Mixed,(13 reviews),"TITLE: MadGuns
GENRE: Action, Free to Play, Indie, Massively Multiplayer, Early Access
DEVELOPER: Novalink
PUBLISHER: Novalink
RELEASE DATE: 3 Jul, 2020
EARLY ACCESS RELEASE DATE: 3 Jul, 2020","3 Jul, 2020",Action Shooter FPS Multiplayer Free to Play +,
