title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Guardian,,,,,,(8 reviews),Exodus Software,Exodus Software,8 user reviews,,"TITLE: Guardian
GENRE: Action, Adventure, Indie
DEVELOPER: Exodus Software
PUBLISHER: Exodus Software
RELEASE DATE: 8 Sep, 2017","8 Sep, 2017",Action Adventure Indie Female Protagonist +,
The Panel DC,,,,,,(5 reviews),Alexandre Beaudoin,ColdMechanics,5 user reviews,,"TITLE: The Panel DC
GENRE: Casual, Indie
DEVELOPER: Alexandre Beaudoin
PUBLISHER: ColdMechanics
RELEASE DATE: 24 Jun, 2019","24 Jun, 2019",Casual Puzzle Atmospheric Point & Click 2D +,
Frigus İnferos,,,,,,(5 reviews),Vingbelz Games,Vingbelz Games,5 user reviews,,"TITLE: Frigus İnferos
GENRE: Adventure, Indie, RPG
DEVELOPER: Vingbelz Games
PUBLISHER: Vingbelz Games
FRANCHISE: Frigus İnferos
RELEASE DATE: 15 Mar, 2019","15 Mar, 2019",Adventure Indie RPG Violent Nudity Short +,
Rocketboarder,,,,,,(2 reviews),RealityRig,RealityRig,2 user reviews,,"TITLE: Rocketboarder
GENRE: Action, Early Access
DEVELOPER: RealityRig
PUBLISHER: RealityRig
FRANCHISE: Greatest Resistance
RELEASE DATE: 20 Jun, 2019
EARLY ACCESS RELEASE DATE: 20 Jun, 2019","20 Jun, 2019",Early Access Action VR +,
Fly The Cloud,,,,,,,J.S.Void,J.S.Void,,,"TITLE: Fly The Cloud
GENRE: Action, Casual, Indie, Racing
DEVELOPER: J.S.Void
PUBLISHER: J.S.Void
RELEASE DATE: 4 Jan, 2021","4 Jan, 2021",Casual Racing Action Local Multiplayer PvP +,
Celtabula,,,,,,(7 reviews),Skip32,Skip32,7 user reviews,,"TITLE: Celtabula
GENRE: Casual, Indie
DEVELOPER: Skip32
PUBLISHER: Skip32
RELEASE DATE: 17 Sep, 2017","17 Sep, 2017",Indie Casual Puzzle +,
P.3,,,,,,(3 reviews),DevJgame,DevJgame,3 user reviews,,"TITLE: P.3
GENRE: Action, Casual, Indie
DEVELOPER: DevJgame
PUBLISHER: DevJgame
RELEASE DATE: 1 Oct, 2019","1 Oct, 2019",Action Indie Casual Roguelite Shoot 'Em Up +,
SCUOS,Bundle info,,,,,(4 reviews),Paleno Games,Paleno Games,4 user reviews,,"TITLE: SCUOS
GENRE: Action, Casual, Indie
DEVELOPER: Paleno Games
PUBLISHER: Paleno Games
FRANCHISE: SCUOS
RELEASE DATE: 27 Mar, 2019","27 Mar, 2019",Indie Casual Action +,
LIGHT,,,,,,(2 reviews),Indie Light,Indie Light,2 user reviews,,"TITLE: LIGHT
GENRE: Action, Indie
DEVELOPER: Indie Light
PUBLISHER: Indie Light
RELEASE DATE: 5 Apr, 2018","5 Apr, 2018",Action Indie Shoot 'Em Up +,
Delta0,,,,,,,JSR-Productions,JSR-Productions,,,"TITLE: Delta0
GENRE: Casual, Indie
DEVELOPER: JSR-Productions
PUBLISHER: JSR-Productions
RELEASE DATE: 1 Dec, 2020","1 Dec, 2020",Puzzle Board Game Experimental Solitaire +,
Maze of Gaea（Real Maze VR Simulation）,"3,99€",,,,,(3 reviews),TiStar Game,TiStar Game,3 user reviews,,"TITLE: Maze of Gaea（Real Maze VR Simulation）
GENRE: Adventure, Simulation, Strategy
DEVELOPER: TiStar Game
PUBLISHER: TiStar Game
RELEASE DATE: 10 Oct, 2017","10 Oct, 2017",Strategy Adventure Simulation VR +,
Japocaliptyca/ Япокалиптика,"0,79€",,,,,(1 reviews),azimut team,azimut team,1 user reviews,,"TITLE: Japocaliptyca/ Япокалиптика
GENRE: Adventure, Casual, Indie
DEVELOPER: azimut team
PUBLISHER: azimut team
RELEASE DATE: 25 Jul, 2019","25 Jul, 2019",Adventure Indie Casual Visual Novel +,
The market trader,,,,,,(1 reviews),AB SOFT,AB SOFT,1 user reviews,,"TITLE: The market trader
GENRE: Strategy, Early Access
DEVELOPER: AB SOFT
PUBLISHER: AB SOFT
RELEASE DATE: 12 Sep, 2017","12 Sep, 2017",Early Access Strategy +,
Pew Pew Puzzle Defense,Bundle info,,,,,(2 reviews),Roppy Chop Studios,Roppy Chop Studios,2 user reviews,,"TITLE: Pew Pew Puzzle Defense
GENRE: Action, Casual, Indie
DEVELOPER: Roppy Chop Studios
PUBLISHER: Roppy Chop Studios
RELEASE DATE: 12 Feb, 2020
EARLY ACCESS RELEASE DATE: 25 Jul, 2019","12 Feb, 2020",Casual Tower Defense Match 3 PvP Shooter +,
