title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
akda,,,,,,(34 reviews),Snkl Studio,Snkl Studio,Mostly Negative,,"TITLE: akda
GENRE: Casual, Indie
DEVELOPER: Snkl Studio
PUBLISHER: Snkl Studio
RELEASE DATE: 27 Dec, 2017","27 Dec, 2017",Puzzle 2D Minimalist Physics Experimental +,
Grindzones,Bundle info,,,,,(11 reviews),Odnako Games,KishMish Games,Mostly Negative,,"TITLE: Grindzones
GENRE: Action, Adventure, Casual, Indie, RPG
DEVELOPER: Odnako Games, Mihan0id
PUBLISHER: KishMish Games
RELEASE DATE: 9 May, 2019","9 May, 2019",Action Adventure Indie Casual RPG PvE +,
Aim Academy,,,,,,(5 reviews),Solo Dev,Solo Dev,5 user reviews,,"TITLE: Aim Academy
GENRE: Action, Simulation, Early Access
DEVELOPER: Solo Dev
PUBLISHER: Solo Dev
RELEASE DATE: 22 Jan, 2021","22 Jan, 2021",Action FPS Arena Shooter 3D Simulation +,
Motorcycle Biker Simulator,,,,,,(6 reviews),MBPStudio22,MBPStudio22,6 user reviews,,"TITLE: Motorcycle Biker Simulator
GENRE: Casual, Simulation, Sports, Early Access
DEVELOPER: MBPStudio22
PUBLISHER: MBPStudio22
RELEASE DATE: 29 Sep, 2021
EARLY ACCESS RELEASE DATE: 29 Sep, 2021","29 Sep, 2021",Casual Simulation Racing Automobile Sim +,
Zombies Beyond Me,,,,,Mostly Negative,(242 reviews),Painted Island Studio,Painted Island Studio,Very Negative,(29 reviews),"TITLE: Zombies Beyond Me
GENRE: Casual, Free to Play, Indie, Strategy, Early Access
DEVELOPER: Painted Island Studio
PUBLISHER: Painted Island Studio
RELEASE DATE: 20 Sep, 2021
EARLY ACCESS RELEASE DATE: 20 Sep, 2021","20 Sep, 2021",Early Access Social Deduction Survival Indie +,8
Dungeons Of The Deep,,,,,,(12 reviews),Gray Mantis,Gray Mantis,Mixed,,"TITLE: Dungeons Of The Deep
GENRE: Action, Adventure
DEVELOPER: Gray Mantis
PUBLISHER: Gray Mantis
RELEASE DATE: 24 Jan, 2021","24 Jan, 2021",Dungeon Crawler Action Mystery Dungeon 3D +,
Love Chronicles: The Sword and the Rose,Bundle info,,,,,(4 reviews),Vendel Games,Big Fish Games,4 user reviews,,"TITLE: Love Chronicles: The Sword and the Rose
GENRE: Adventure, Casual
DEVELOPER: Vendel Games
PUBLISHER: Big Fish Games
FRANCHISE: Love Chronicles
RELEASE DATE: 1 Sep, 2017","1 Sep, 2017",Adventure Casual Hidden Object +,
Stranded,Package info,,,,,(264 reviews),Peter Moorhead,Curve Games,Mostly Negative,,"TITLE: Stranded
GENRE: Adventure, Indie
DEVELOPER: Peter Moorhead
PUBLISHER: Curve Games
FRANCHISE: Curve Games
RELEASE DATE: 20 May, 2014","20 May, 2014",Indie Adventure Point & Click Pixel Graphics +,
Gratuitous Space Battles 2,Package info,,,,,(209 reviews),Positech Games,Positech Games,Mostly Negative,,"TITLE: Gratuitous Space Battles 2
GENRE: Indie, Simulation, Strategy
DEVELOPER: Positech Games
PUBLISHER: Positech Games
RELEASE DATE: 16 Apr, 2015","16 Apr, 2015",Strategy Indie Simulation Space Sci-fi +,
Last Hope on Earth,,,,,,(24 reviews),iLand Studios,iLand Studios,Mostly Negative,,"TITLE: Last Hope on Earth
GENRE: Action, Adventure, Indie, RPG, Early Access
DEVELOPER: iLand Studios
PUBLISHER: iLand Studios
RELEASE DATE: 1 Nov, 2020
EARLY ACCESS RELEASE DATE: 1 Nov, 2020","1 Nov, 2020",Adventure 3D Action Action-Adventure FPS +,
The Hunt in the Forest,Bundle info,,,,,(13 reviews),A Nostru,A Nostru,Mostly Negative,,"TITLE: The Hunt in the Forest
GENRE: Action, Adventure, Casual, Indie, Simulation, Sports
DEVELOPER: A Nostru
PUBLISHER: A Nostru
RELEASE DATE: 8 Apr, 2019","8 Apr, 2019",Action Casual Simulation Sports Indie +,
Arevan,"9,99€",,,,,(26 reviews),Overcloud9,Aldorlea Games,Mostly Negative,,"TITLE: Arevan
GENRE: Adventure, Casual, Indie, RPG
DEVELOPER: Overcloud9
PUBLISHER: Aldorlea Games
RELEASE DATE: 24 Jul, 2015","24 Jul, 2015",RPG Indie Casual Adventure RPGMaker +,
Smoots Summer Games,,,,,,(1 reviews),Kaneda Games,JanduSoft,1 user reviews,,"TITLE: Smoots Summer Games
GENRE: Indie, Racing, Sports
DEVELOPER: Kaneda Games
PUBLISHER: JanduSoft
FRANCHISE: JanduSoft
RELEASE DATE: 22 Jul, 2021","22 Jul, 2021",Sports Casual Arcade 3D PvP Runner +,
サバイバルメソッド Survival Method,,,,,,(113 reviews),AjiGohanGames,AjiGohanGames,Mostly Negative,,"TITLE: サバイバルメソッド Survival Method
GENRE: Action, Adventure, Indie, Early Access
DEVELOPER: AjiGohanGames
PUBLISHER: AjiGohanGames
RELEASE DATE: 25 Jan, 2019
EARLY ACCESS RELEASE DATE: 25 Jan, 2019","25 Jan, 2019",Action Adventure Indie Nudity Survival +,60
