title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Box Survivors World,,,,Free To Play,,(4 reviews),Andre Facchinetti,Beonin Studios,4 user reviews,,"TITLE: Box Survivors World
GENRE: Action, Adventure, Casual, Free to Play, Indie, Massively Multiplayer
DEVELOPER: Andre Facchinetti, Rafael Rios, Victor Seyfried
PUBLISHER: Beonin Studios
RELEASE DATE: 7 Oct, 2021","7 Oct, 2021",Action Survival PvP Action-Adventure PvE +,
FAUCET VR,"1,99€",,,,,(1 reviews),GALBRO INC.,GALBRO INC.,1 user reviews,,"TITLE: FAUCET VR
GENRE: Casual, Indie
DEVELOPER: GALBRO INC.
PUBLISHER: GALBRO INC.
RELEASE DATE: 21 Feb, 2018","21 Feb, 2018",Indie Casual VR +,
Planet Assault,,,,,,,Diggidy.net,Diggidy.net,,,"TITLE: Planet Assault
GENRE: Casual, Indie
DEVELOPER: Diggidy.net
PUBLISHER: Diggidy.net
RELEASE DATE: 23 Mar, 2018","23 Mar, 2018",Indie Casual +,
VRRV,"1,59€",,,,,,DCG Entertainment Inc.,DCG Entertainment Inc.,,,"TITLE: VRRV
GENRE: Action, Casual
DEVELOPER: DCG Entertainment Inc.
PUBLISHER: DCG Entertainment Inc.
RELEASE DATE: 1 May, 2018","1 May, 2018",Action Casual VR +,
DEFENDER OF EARTH VS THE ALIEN ARMADA,,,,,,(3 reviews),MONKEY WRENCH STUDIO INC.,MONKEY WRENCH STUDIO INC.,3 user reviews,,"TITLE: DEFENDER OF EARTH VS THE ALIEN ARMADA
GENRE: Action, Indie, Strategy
DEVELOPER: MONKEY WRENCH STUDIO INC.
PUBLISHER: MONKEY WRENCH STUDIO INC.
RELEASE DATE: 12 Sep, 2017","12 Sep, 2017",Action Strategy Indie Tower Defense +,
The First Time I Died,,,,,,(2 reviews),Ryan Stephen,Ryan Stephen,2 user reviews,,"TITLE: The First Time I Died
GENRE: Adventure, Indie, RPG
DEVELOPER: Ryan Stephen
PUBLISHER: Ryan Stephen
RELEASE DATE: 20 Jun, 2017","20 Jun, 2017",Adventure Indie RPG JRPG RPGMaker +,
Project Tank,,,,,,,Diving in Studio,Diving in Studio,,,"TITLE: Project Tank
GENRE: Action, Adventure, Indie, RPG, Early Access
DEVELOPER: Diving in Studio
PUBLISHER: Diving in Studio
RELEASE DATE: 1 Mar, 2018","1 Mar, 2018",Action Adventure Indie RPG Early Access +,
PaperCat,,,,,,,ARS,ARS,,,"TITLE: PaperCat
GENRE: Casual, Indie
DEVELOPER: ARS
PUBLISHER: ARS
RELEASE DATE: 28 Sep, 2017","28 Sep, 2017",Indie Casual +,
For Food Sake! VR,"1,99€",,,,,,Shao Games,Shao Games,,,"TITLE: For Food Sake! VR
GENRE: Action, Casual, Indie
DEVELOPER: Shao Games
PUBLISHER: Shao Games
RELEASE DATE: 1 Mar, 2018","1 Mar, 2018",Action Casual Indie VR +,
Psycho Squirrels,,,,,,,Intangible Games,Independent,,,"TITLE: Psycho Squirrels
GENRE: Casual, Indie, Strategy
DEVELOPER: Intangible Games
PUBLISHER: Independent
RELEASE DATE: 15 May, 2018","15 May, 2018",Indie Casual Strategy Puzzle Platformer +,
Flow Handcrafted,,,,,,(1 reviews),Flow,Flow,1 user reviews,,"TITLE: Flow Handcrafted
GENRE: Casual, Indie, Simulation, Strategy
DEVELOPER: Flow
PUBLISHER: Flow
RELEASE DATE: 22 Nov, 2017","22 Nov, 2017",Strategy Indie Casual Simulation +,
CONTAINMENT,,,,,,,Planet X Game Studios,Planet X Game Studios,,,"TITLE: CONTAINMENT
GENRE: Casual, Indie
DEVELOPER: Planet X Game Studios
PUBLISHER: Planet X Game Studios
RELEASE DATE: 24 Apr, 2018","24 Apr, 2018",Indie Casual Arcade +,
Tommyknockers,,,,,,(3 reviews),Gray Wolf Interactive LLC,Gray Wolf Interactive LLC,3 user reviews,,"TITLE: Tommyknockers
GENRE: Indie, Early Access
DEVELOPER: Gray Wolf Interactive LLC
PUBLISHER: Gray Wolf Interactive LLC
RELEASE DATE: 15 Mar, 2018","15 Mar, 2018",Indie Early Access Survival Horror +,
Skeleton Sprint,,,,,,(4 reviews),ScTiger,ScTiger,4 user reviews,,"TITLE: Skeleton Sprint
GENRE: Adventure, Indie, Racing, Strategy
DEVELOPER: ScTiger, Delta
PUBLISHER: ScTiger
RELEASE DATE: 16 Sep, 2019","16 Sep, 2019",Indie Racing Adventure Strategy Nudity +,
Ladybird Reflect,Bundle info,,,,,,Displacement Studios,Displacement Studios,,,"TITLE: Ladybird Reflect
GENRE: Casual, Indie
DEVELOPER: Displacement Studios
PUBLISHER: Displacement Studios
RELEASE DATE: 18 Apr, 2018","18 Apr, 2018",Indie Casual +,
StickDodgeVR,"1,99€",,,,,(2 reviews),Brian Underwood,The StickDodgeVR Team,2 user reviews,,"TITLE: StickDodgeVR
GENRE: Action, Adventure, Indie, Sports
DEVELOPER: Brian Underwood, Ben Makarechian
PUBLISHER: The StickDodgeVR Team
RELEASE DATE: 20 Aug, 2017","20 Aug, 2017",Action Adventure Indie Sports VR +,
Summon Masks,,,,,,,Paulo Henrique Pedrassi,Paulo Henrique Pedrassi,,,"TITLE: Summon Masks
GENRE: Casual, Indie, Sports, Strategy
DEVELOPER: Paulo Henrique Pedrassi
PUBLISHER: Paulo Henrique Pedrassi
RELEASE DATE: 6 Mar, 2020","6 Mar, 2020",Casual Strategy Indie Sports Board Game +,
"Burn, Clown, Burn!",,,,,,(3 reviews),Gameplay Ltd.,Gameplay Ltd.,3 user reviews,,"TITLE: Burn, Clown, Burn!
GENRE: Indie
DEVELOPER: Gameplay Ltd.
PUBLISHER: Gameplay Ltd.
RELEASE DATE: 17 Nov, 2017","17 Nov, 2017",Indie +,
Shn!p,,,,,,(6 reviews),Martin Knopf,Martin Knopf,6 user reviews,,"TITLE: Shn!p
GENRE: Casual, Indie
DEVELOPER: Martin Knopf
PUBLISHER: Martin Knopf
RELEASE DATE: 14 Jul, 2017","14 Jul, 2017",Indie Casual Puzzle +,
Two Escapes,,,,,,(3 reviews),Whitefish Software,Whitefish Software,3 user reviews,,"TITLE: Two Escapes
GENRE: Action, Casual, Indie
DEVELOPER: Whitefish Software
PUBLISHER: Whitefish Software
RELEASE DATE: 30 Aug, 2017","30 Aug, 2017",Action Indie Casual Puzzle Platformer +,
Galactic Delivery,Bundle info,,,,,(1 reviews),Warp Path,Yak Studios LLC,1 user reviews,,"TITLE: Galactic Delivery
GENRE: Casual, Indie
DEVELOPER: Warp Path, Yak Studios LLC
PUBLISHER: Yak Studios LLC
RELEASE DATE: 23 Mar, 2018","23 Mar, 2018",Casual Indie Pixel Graphics Singleplayer +,
Stay Woke Etheral Edition,,,,,,(3 reviews),Up All Night Games,Up All Night Games,3 user reviews,,"TITLE: Stay Woke Etheral Edition
GENRE: Action, Adventure, Casual, Indie, RPG, Strategy
DEVELOPER: Up All Night Games
PUBLISHER: Up All Night Games
RELEASE DATE: 19 Nov, 2017","19 Nov, 2017",Adventure Indie RPG Casual Gore Violent +,
Blendy 2 Dolls Factory,,,,,,(3 reviews),Daniil999O,CDA Games,3 user reviews,,"TITLE: Blendy 2 Dolls Factory
GENRE: Adventure, Indie
DEVELOPER: Daniil999O
PUBLISHER: CDA Games
FRANCHISE: Blendy
RELEASE DATE: 20 Feb, 2020","20 Feb, 2020",Adventure Indie Violent Horror Mystery +,
Pirate Popper VR,"1,59€",,,,,(1 reviews),Jellybean Game Studios,Jellybean Game Studios,1 user reviews,,"TITLE: Pirate Popper VR
GENRE: Casual, Indie, Simulation, Strategy
DEVELOPER: Jellybean Game Studios
PUBLISHER: Jellybean Game Studios
RELEASE DATE: 12 Mar, 2021","12 Mar, 2021",Strategy Casual Simulation Indie Puzzle +,
Take Care of the Paperwork,,,,,,(3 reviews),qberty,The Local Group,3 user reviews,,"TITLE: Take Care of the Paperwork
GENRE: Indie, Simulation
DEVELOPER: qberty
PUBLISHER: The Local Group
RELEASE DATE: 6 Jul, 2018","6 Jul, 2018",Indie Simulation +,
Night of the Shrub Part 1,,,,,,(1 reviews),Grove Street Games,Grove Street Games,1 user reviews,,"TITLE: Night of the Shrub Part 1
GENRE: Casual
DEVELOPER: Grove Street Games
PUBLISHER: Grove Street Games
RELEASE DATE: 3 Apr, 2018","3 Apr, 2018",Casual +,
Solar Collector,,,,,,(7 reviews),Emily Peregrine,Emily Peregrine,7 user reviews,,"TITLE: Solar Collector
GENRE: Indie, Simulation, Strategy
DEVELOPER: Emily Peregrine
PUBLISHER: Emily Peregrine
RELEASE DATE: 10 Nov, 2017","10 Nov, 2017",Indie Simulation Strategy +,
Powerless,,,,,,(1 reviews),Moonlight Studios,Moonlight Studios,1 user reviews,,"TITLE: Powerless
GENRE: Action, Indie
DEVELOPER: Moonlight Studios
PUBLISHER: Moonlight Studios
RELEASE DATE: 19 Jan, 2018","19 Jan, 2018",Action Indie Gore Violent +,
The Great Unborn,,,,,,(1 reviews),MaSeK,MaSeKStrong,1 user reviews,,"TITLE: The Great Unborn
GENRE: Action, Indie
DEVELOPER: MaSeK
PUBLISHER: MaSeKStrong
RELEASE DATE: 16 Feb, 2021","16 Feb, 2021",Action Beat 'em up Side Scroller 3D Medieval +,
NickProject,,,,,,(1 reviews),Velaris Studio,Velaris Studio,1 user reviews,,"TITLE: NickProject
GENRE: Action, Adventure, Indie
DEVELOPER: Velaris Studio
PUBLISHER: Velaris Studio
RELEASE DATE: 9 Mar, 2018","9 Mar, 2018",Indie Action Adventure +,
Exocomets,,,,,,(1 reviews),Matthew Giordano,Matthew Giordano,1 user reviews,,"TITLE: Exocomets
GENRE: Action, Indie
DEVELOPER: Matthew Giordano
PUBLISHER: Matthew Giordano
RELEASE DATE: 13 Jul, 2017","13 Jul, 2017",Action Indie +,
Cosmic Monsters,,,,,,(1 reviews),Marco Braun,Vault Softworks,1 user reviews,,"TITLE: Cosmic Monsters
GENRE: Adventure, Indie, RPG
DEVELOPER: Marco Braun
PUBLISHER: Vault Softworks
FRANCHISE: Cosmic Monsters
RELEASE DATE: 15 Nov, 2019","15 Nov, 2019",RPG Indie Adventure RPGMaker 2D +,
Visitors: Marine Invasion,,,,,,(7 reviews),Black Side,Black Side,7 user reviews,,"TITLE: Visitors: Marine Invasion
GENRE: Action, Indie
DEVELOPER: Black Side
PUBLISHER: Black Side
RELEASE DATE: 13 Jul, 2017","13 Jul, 2017",Action Indie Horror Aliens +,
ZYTERNION,,,,,,,Pigeonaut,Pigeonaut,,,"TITLE: ZYTERNION
GENRE: Action, Casual, Indie
DEVELOPER: Pigeonaut
PUBLISHER: Pigeonaut
RELEASE DATE: 6 Apr, 2018","6 Apr, 2018",Action Indie Casual +,
The Under,,,,,,,Iconic Games,Iconic Games,,,"TITLE: The Under
GENRE: Indie
DEVELOPER: Iconic Games, Adham Jaber
PUBLISHER: Iconic Games
RELEASE DATE: 25 Nov, 2017","25 Nov, 2017",Indie Platformer +,
Charpi,,,,,,(6 reviews),Piaj,Piaj,6 user reviews,,"TITLE: Charpi
GENRE: Casual, Indie, Early Access
DEVELOPER: Piaj, d1h1
PUBLISHER: Piaj
RELEASE DATE: 31 Aug, 2017","31 Aug, 2017",Indie Casual Early Access +,
Domino Effect,,,,,,,GoshFather,GoshFather,,,"TITLE: Domino Effect
GENRE: Action, Adventure, Indie
DEVELOPER: GoshFather
PUBLISHER: GoshFather
RELEASE DATE: 13 Feb, 2018","13 Feb, 2018",Action Adventure Indie +,
Mob Stadium,"1,99€",,,,,(5 reviews),flapjax,"Nest Egg Games, LLC",5 user reviews,,"TITLE: Mob Stadium
GENRE: Action, Adventure, Indie
DEVELOPER: flapjax
PUBLISHER: Nest Egg Games, LLC
RELEASE DATE: 15 Jun, 2017","15 Jun, 2017",Action Adventure Indie Gore Violent VR +,
