title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Red Rope: Don't Fall Behind,Bundle info,,,,,(74 reviews),Yonder,IndieGala,Very Positive,,"TITLE: Red Rope: Don't Fall Behind
GENRE: Action, Adventure, Indie
DEVELOPER: Yonder
PUBLISHER: IndieGala
RELEASE DATE: 21 Jul, 2016","21 Jul, 2016",Indie Action Adventure Local Co-Op Difficult +,
HUNTING SIMULATOR VR,"3,99€",,,,,(14 reviews),RIVERSIDE SPORTS,RIVERSIDE SPORTS,Mixed,,"TITLE: HUNTING SIMULATOR VR
GENRE: Adventure, Indie, Simulation, Sports
DEVELOPER: RIVERSIDE SPORTS
PUBLISHER: RIVERSIDE SPORTS
RELEASE DATE: 14 Dec, 2018","14 Dec, 2018",Adventure Indie Simulation Sports VR +,
Big Dipper,,,,,,(91 reviews),Team Zimno,Top Hat Studios Inc,Very Positive,,"TITLE: Big Dipper
GENRE: Indie, Simulation
DEVELOPER: Team Zimno
PUBLISHER: Top Hat Studios Inc
FRANCHISE: Top Hat Studios
RELEASE DATE: 7 Jan, 2019","7 Jan, 2019",Visual Novel Drama Fantasy Stylized Linear +,
Faerie Solitaire Remastered,Bundle info,,,,,(261 reviews),Subsoap,Subsoap,Very Positive,,"TITLE: Faerie Solitaire Remastered
GENRE: Casual
DEVELOPER: Subsoap
PUBLISHER: Subsoap
FRANCHISE: Subsoap, Faerie Solitaire, FaeVerse
RELEASE DATE: 22 Dec, 2017","22 Dec, 2017",Card Game Board Game Puzzle Fantasy +,
破镜恐惧,"1,59€",,,,,(52 reviews),幻想理戈游戏开发工作室,幻想理戈游戏开发工作室,Very Positive,,"TITLE: 破镜恐惧
GENRE: Adventure, Indie, RPG
DEVELOPER: 幻想理戈游戏开发工作室
PUBLISHER: 幻想理戈游戏开发工作室
RELEASE DATE: 22 Sep, 2020","22 Sep, 2020",Visual Novel RPG Lovecraftian Singleplayer +,
Prehistorik 2,,,,,,(36 reviews),Titus Interactive,Interplay Entertainment Corp.,Positive,,"TITLE: Prehistorik 2
GENRE: Action, Adventure
DEVELOPER: Titus Interactive
PUBLISHER: Interplay Entertainment Corp.
FRANCHISE: Prehistorik
RELEASE DATE: 1 Jan, 1993","1 Jan, 1993",Adventure Action Platformer Retro 2D +,
Dead Dungeon,Bundle info,,,,,(134 reviews),Roenko Games,Roenko Games,Very Positive,,"TITLE: Dead Dungeon
GENRE: Action, Adventure, Indie
DEVELOPER: Roenko Games
PUBLISHER: Roenko Games
FRANCHISE: Roenko Games
RELEASE DATE: 12 Nov, 2018","12 Nov, 2018",Platformer Difficult Precision Platformer Indie +,
VR Jurassic Escape,"5,69€",,,,,(30 reviews),William at Oxford,William at Oxford,Mixed,,"TITLE: VR Jurassic Escape
GENRE: Casual
DEVELOPER: William at Oxford
PUBLISHER: William at Oxford
RELEASE DATE: 7 Dec, 2020","7 Dec, 2020",Casual Stealth Realistic VR Dinosaurs +,
Narcissu 1st & 2nd,,,,Free,Very Positive,"(3,644 reviews)",stage-nana,Sekai Project,Very Positive,(26 reviews),"TITLE: Narcissu 1st & 2nd
GENRE: Indie
DEVELOPER: stage-nana
PUBLISHER: Sekai Project
RELEASE DATE: 15 May, 2007","15 May, 2007",Visual Novel Anime Free to Play Indie Drama +,
Pixel Puzzles 2: Space,Bundle info,,,,,(50 reviews),The Digital Puzzle Company,DL Softworks,Very Positive,,"TITLE: Pixel Puzzles 2: Space
GENRE: Casual, Indie, Simulation, Strategy
DEVELOPER: The Digital Puzzle Company
PUBLISHER: DL Softworks
FRANCHISE: Pixel Puzzles
RELEASE DATE: 19 Feb, 2016","19 Feb, 2016",Casual Indie Simulation Puzzle Strategy +,
