title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Proteus,,,,,,"(1,285 reviews)",Ed Key and David Kanaga,Twisted Tree,Very Positive,,"TITLE: Proteus
GENRE: Adventure, Casual, Indie
DEVELOPER: Ed Key and David Kanaga
PUBLISHER: Twisted Tree
RELEASE DATE: 30 Jan, 2013","30 Jan, 2013",Exploration Relaxing Walking Simulator Indie +,
Tales of Monkey Island: Complete Season,,,,,,(452 reviews),Telltale,Telltale,Very Positive,,"TITLE: Tales of Monkey Island: Complete Season
GENRE: Adventure, RPG
DEVELOPER: Telltale
PUBLISHER: Telltale
RELEASE DATE: 7 Jul, 2009","7 Jul, 2009",Adventure Point & Click Comedy Pirates +,
BEAT ARENA,"29,99€",,,,,(31 reviews),Konami Digital Entertainment,Konami Digital Entertainment,Mixed,,"TITLE: BEAT ARENA
GENRE: Casual
DEVELOPER: Konami Digital Entertainment
PUBLISHER: Konami Digital Entertainment
RELEASE DATE: 9 Sep, 2021","9 Sep, 2021",Casual Action VR Rhythm Arcade Sci-fi +,
Sanitarium,,,,,Very Positive,(714 reviews),Dotemu,Dotemu,Very Positive,(17 reviews),"TITLE: Sanitarium
GENRE: Adventure
DEVELOPER: Dotemu, DreamForge Intertainment
PUBLISHER: Dotemu
FRANCHISE: Dotemu
RELEASE DATE: 30 Apr, 1998","30 Apr, 1998",Adventure Point & Click Horror Classic Retro +,
Wonder Boy: The Dragon's Trap,Bundle info,,,,Very Positive,"(1,484 reviews)",Lizardcube,Dotemu,Very Positive,(10 reviews),"TITLE: Wonder Boy: The Dragon's Trap
GENRE: Action, Adventure, Indie
DEVELOPER: Lizardcube
PUBLISHER: Dotemu
FRANCHISE: Dotemu
RELEASE DATE: 8 Jun, 2017","8 Jun, 2017",Platformer Adventure Action Indie Remake +,
Disney Infinity 2.0: Gold Edition,Bundle info,,,,,(153 reviews),Avalanche Software,Disney,Very Positive,,"TITLE: Disney Infinity 2.0: Gold Edition
GENRE: Action, Adventure
DEVELOPER: Avalanche Software, Heavy Iron Studios
PUBLISHER: Disney
RELEASE DATE: 9 Dec, 2016","9 Dec, 2016",Action Adventure Sandbox Open World +,
Sky Force Anniversary,Bundle info,,,,Very Positive,"(1,653 reviews)",Infinite Dreams,Infinite Dreams,Very Positive,(13 reviews),"TITLE: Sky Force Anniversary
GENRE: Action, Indie
DEVELOPER: Infinite Dreams
PUBLISHER: Infinite Dreams
RELEASE DATE: 30 Apr, 2015","30 Apr, 2015",Shoot 'Em Up Action Bullet Hell Indie Arcade +,
Out of the Park Baseball 21,,,,,,"(1,543 reviews)",Out of the Park Developments,Out of the Park Developments,Very Positive,,"TITLE: Out of the Park Baseball 21
GENRE: Indie, Simulation, Sports, Strategy
DEVELOPER: Out of the Park Developments
PUBLISHER: Out of the Park Developments
FRANCHISE: Out of the Park Baseball
RELEASE DATE: 20 Mar, 2020","20 Mar, 2020",Sports Simulation Strategy Indie Baseball +,
PuzzleQuest: Challenge of the Warlords,,,,,,(765 reviews),Infinite Interactive,"D3Publisher of America, Inc.",Very Positive,,"TITLE: PuzzleQuest: Challenge of the Warlords
GENRE: Casual
DEVELOPER: Infinite Interactive
PUBLISHER: D3Publisher of America, Inc.
RELEASE DATE: 10 Oct, 2007","10 Oct, 2007",Puzzle Match 3 Casual RPG Fantasy 2D +,
Muv-Luv photonflowers*,Bundle info,,,,,(132 reviews),aNCHOR Inc.,aNCHOR Inc.,Very Positive,,"TITLE: Muv-Luv photonflowers*
GENRE: Adventure, Casual
DEVELOPER: aNCHOR Inc.
PUBLISHER: aNCHOR Inc.
FRANCHISE: Muv-Luv
RELEASE DATE: 2 Aug, 2019","2 Aug, 2019",Sexual Content Adventure Visual Novel Nudity +,
Sherlock Holmes versus Jack the Ripper,Package info,,,,,(672 reviews),Frogwares,Frogwares,Mostly Positive,,"TITLE: Sherlock Holmes versus Jack the Ripper
GENRE: Adventure, RPG
DEVELOPER: Frogwares
PUBLISHER: Frogwares
FRANCHISE: Frogwares, Sherlock Holmes
RELEASE DATE: 23 Dec, 2009","23 Dec, 2009",Adventure RPG Detective Point & Click +,20
Tasty Blue,Bundle info,,,,Very Positive,(425 reviews),Dingo Games,Dingo Games,Very Positive,(10 reviews),"TITLE: Tasty Blue
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Dingo Games
PUBLISHER: Dingo Games
RELEASE DATE: 10 Feb, 2015","10 Feb, 2015",Casual Action Indie Adventure Singleplayer +,
Spirits Abyss,Bundle info,,,,,(259 reviews),Anthony Case,Caiysware,Very Positive,,"TITLE: Spirits Abyss
GENRE: Action, Indie
DEVELOPER: Anthony Case
PUBLISHER: Caiysware
FRANCHISE: Caiysware
RELEASE DATE: 27 Aug, 2020
EARLY ACCESS RELEASE DATE: 7 Oct, 2019","27 Aug, 2020",Action Roguelike Platformer Roguelite Difficult +,15
FlatOut,Package info,,,,Very Positive,"(3,053 reviews)",Bugbear Entertainment,Strategy First,Very Positive,(35 reviews),"TITLE: FlatOut
GENRE: Racing
DEVELOPER: Bugbear Entertainment
PUBLISHER: Strategy First
RELEASE DATE: 12 Jul, 2005","12 Jul, 2005",Combat Racing Racing Automobile Sim Driving +,
Immortal Realms: Vampire Wars,,,,,,(322 reviews),Palindrome Interactive,Kalypso Media,Mixed,,"TITLE: Immortal Realms: Vampire Wars
GENRE: Action, RPG, Strategy
DEVELOPER: Palindrome Interactive
PUBLISHER: Kalypso Media
FRANCHISE: Immortal Realms: Vampire Wars
RELEASE DATE: 28 Aug, 2020","28 Aug, 2020",Strategy Vampire Turn-Based Combat Isometric +,
,,,,,,,,,,,,,,
Sakura Forest Girls,Bundle info,,,,,(18 reviews),Winged Cloud,Winged Cloud,Positive,,"TITLE: Sakura Forest Girls
GENRE: Simulation
DEVELOPER: Winged Cloud
PUBLISHER: Winged Cloud
FRANCHISE: Sakura
RELEASE DATE: 19 Apr, 2021","19 Apr, 2021",Dating Sim Visual Novel Anime Nature 2D +,
Hyper Jam,,,,,,(303 reviews),Bit Dragon,Bit Dragon,Very Positive,,"TITLE: Hyper Jam
GENRE: Action, Indie
DEVELOPER: Bit Dragon
PUBLISHER: Bit Dragon
RELEASE DATE: 12 Feb, 2019","12 Feb, 2019",Indie Action Multiplayer 1980s PvP Retro +,
Dark Nights with Poe and Munro,Bundle info,,,,,(229 reviews),D'Avekki Studios Ltd,D'Avekki Studios Ltd,Very Positive,,"TITLE: Dark Nights with Poe and Munro
GENRE: Adventure, Indie
DEVELOPER: D'Avekki Studios Ltd
PUBLISHER: D'Avekki Studios Ltd
RELEASE DATE: 19 May, 2020","19 May, 2020",FMV Choose Your Own Adventure Cinematic +,
Amnesia™: Memories,,,,,Very Positive,"(2,333 reviews)",Idea Factory,Idea Factory International,Very Positive,(20 reviews),"TITLE: Amnesia™: Memories
GENRE: Adventure
DEVELOPER: Idea Factory, Design Factory
PUBLISHER: Idea Factory International
FRANCHISE: Idea Factory International
RELEASE DATE: 25 Aug, 2015","25 Aug, 2015",Otome Visual Novel Female Protagonist Anime +,
Tiny Room Stories: Town Mystery,,,,,Very Positive,(225 reviews),Kiary Games,Kiary Games,Very Positive,(10 reviews),"TITLE: Tiny Room Stories: Town Mystery
GENRE: Adventure, Indie
DEVELOPER: Kiary Games
PUBLISHER: Kiary Games
FRANCHISE: Tiny Room Stories
RELEASE DATE: 25 Feb, 2021","25 Feb, 2021",Puzzle Point & Click Adventure Logic 3D +,
Power of Ten,,,,,,(37 reviews),Pew Times Three,Pew Times Three,Positive,,"TITLE: Power of Ten
GENRE: Action, Indie, Early Access
DEVELOPER: Pew Times Three
PUBLISHER: Pew Times Three
RELEASE DATE: 3 Jun, 2021
EARLY ACCESS RELEASE DATE: 3 Jun, 2021","3 Jun, 2021",Early Access Space Roguelite Action Roguelike +,17
Kozue's Strange Journey,Bundle info,,,,,(130 reviews),Asakiyumemishi,Kagura Games,Very Positive,,"TITLE: Kozue's Strange Journey
GENRE: Indie, RPG
DEVELOPER: Asakiyumemishi
PUBLISHER: Kagura Games
FRANCHISE: Kagura Games
RELEASE DATE: 6 Aug, 2020","6 Aug, 2020",RPG Indie Anime Female Protagonist JRPG +,
Crash Drive 3,Bundle info,,,,,(65 reviews),M2H,M2H,Very Positive,,"TITLE: Crash Drive 3
GENRE: Action, Casual, Indie, Racing
DEVELOPER: M2H
PUBLISHER: M2H
FRANCHISE: Crash Drive
RELEASE DATE: 8 Jul, 2021","8 Jul, 2021",Racing Sandbox Open World Multiplayer PvP +,2
The Exorcist: Legion VR - Chapter 1: First Rites,"4,99€",,,,,(239 reviews),Wolf & Wood Interactive Ltd,"LegionVR, LLC",Mostly Positive,,"TITLE: The Exorcist: Legion VR - Chapter 1: First Rites
GENRE: Action, Adventure, Casual, Simulation
DEVELOPER: Wolf & Wood Interactive Ltd
PUBLISHER: LegionVR, LLC, Fun Train
FRANCHISE: The Exorcist: Legion VR
RELEASE DATE: 22 Nov, 2017","22 Nov, 2017",Adventure VR Casual Simulation Action +,
,,,,,,,,,,,,,,
The Letter - Horror Visual Novel,"19,99€",,,Features Chapter 1: Isabella,Very Positive,(959 reviews),Yangyang Mobile,Yangyang Mobile,Mixed,(12 reviews),"TITLE: The Letter - Horror Visual Novel
GENRE: Adventure, Indie, RPG
DEVELOPER: Yangyang Mobile
PUBLISHER: Yangyang Mobile
FRANCHISE: Yangyang Mobile
RELEASE DATE: 24 Jul, 2017","24 Jul, 2017",Horror Visual Novel Choices Matter Indie +,
DeepStates [VR],,,,,,(34 reviews),Marc Zimmermann,EpicScapes,Positive,,"TITLE: DeepStates [VR]
GENRE: Casual, Indie, Simulation, Early Access
DEVELOPER: Marc Zimmermann
PUBLISHER: EpicScapes
RELEASE DATE: 18 Jun, 2021
EARLY ACCESS RELEASE DATE: 18 Jun, 2021","18 Jun, 2021",Atmospheric VR Nature Relaxing Ambient +,2
Secret Government,,,,,,(193 reviews),GameTrek,1C Entertainment,Mixed,,"TITLE: Secret Government
GENRE: Indie, Simulation, Strategy
DEVELOPER: GameTrek
PUBLISHER: 1C Entertainment
FRANCHISE: 1C
RELEASE DATE: 15 Apr, 2021
EARLY ACCESS RELEASE DATE: 22 Jun, 2020","15 Apr, 2021",Politics Grand Strategy Political Economy +,57
Reus,Bundle info,,,,Mostly Positive,"(4,308 reviews)",Abbey Games,Abbey Games,Mostly Positive,(16 reviews),"TITLE: Reus
GENRE: Indie, Simulation, Strategy
DEVELOPER: Abbey Games
PUBLISHER: Abbey Games
FRANCHISE: Abbey Games
RELEASE DATE: 16 May, 2013","16 May, 2013",God Game Strategy Indie Simulation Casual +,
Army Gals,"20,99€",,,,,(205 reviews),Dharker Studio,Dharker Studios Ltd,Very Positive,,"TITLE: Army Gals
GENRE: Adventure, Casual, Indie
DEVELOPER: Dharker Studio
PUBLISHER: Dharker Studios Ltd
RELEASE DATE: 17 Apr, 2017","17 Apr, 2017",Sexual Content Nudity Adventure Visual Novel +,
Wizard And Minion Idle,,,,Free To Play,,(520 reviews),Oninou,Oninou,Very Positive,,"TITLE: Wizard And Minion Idle
GENRE: Free to Play, RPG, Strategy
DEVELOPER: Oninou
PUBLISHER: Oninou
FRANCHISE: Oninou
RELEASE DATE: 7 Feb, 2019","7 Feb, 2019",Free to Play Idler RPG Clicker Strategy +,89
Close Combat: The Bloody First,Bundle info,,,,,(317 reviews),Slitherine Ltd.,Slitherine Ltd.,Mixed,,"TITLE: Close Combat: The Bloody First
GENRE: Simulation, Strategy
DEVELOPER: Slitherine Ltd.
PUBLISHER: Slitherine Ltd.
FRANCHISE: Close Combat
RELEASE DATE: 3 Oct, 2019","3 Oct, 2019",Strategy Military Simulation Real Time Tactics +,
Chronology,Bundle info,,,,,(328 reviews),Bedtime Digital Games,Bedtime Digital Games,Very Positive,,"TITLE: Chronology
GENRE: Adventure, Indie
DEVELOPER: Bedtime Digital Games
PUBLISHER: Bedtime Digital Games
RELEASE DATE: 12 May, 2014","12 May, 2014",Adventure Puzzle Platformer Indie Platformer +,
