title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Zeus' Battlegrounds,,,,,,,Industry Games,Industry Games,,,"TITLE: Zeus' Battlegrounds
GENRE: Action, Free to Play, Massively Multiplayer, Early Access
DEVELOPER: Industry Games
PUBLISHER: Industry Games
RELEASE DATE: 28 Sep, 2018","28 Sep, 2018",Free to Play Battle Royale Early Access Action +,
DeathMatch,,,,,,(63 reviews),Baser Software,Baser Software,Mixed,,"TITLE: DeathMatch
GENRE: Action, Free to Play, Indie, Massively Multiplayer, Early Access
DEVELOPER: Baser Software
PUBLISHER: Baser Software
RELEASE DATE: 17 May, 2019
EARLY ACCESS RELEASE DATE: 17 May, 2019","17 May, 2019",Free to Play Massively Multiplayer Indie Action +,
CLOSED,,,,,,(49 reviews),Kazuya,赤いトンボ,Mixed,,"TITLE: CLOSED
GENRE: Action, Indie, RPG
DEVELOPER: Kazuya, tensun3d
PUBLISHER: 赤いトンボ
RELEASE DATE: 3 Sep, 2019","3 Sep, 2019",Nudity Action Indie Female Protagonist RPG +,
Prototype ONE DAY I AM,,,,Free To Play,,(28 reviews),TCS Production,TCS Production,Mixed,,"TITLE: Prototype ONE DAY I AM
GENRE: Action, Adventure, Indie
DEVELOPER: TCS Production
PUBLISHER: TCS Production
RELEASE DATE: 27 Sep, 2020","27 Sep, 2020",Adventure Open World Action Exploration 3D +,
ANNOYING ball game,,,,Free,,(11 reviews),Moronicbody,MB Studios,Mixed,,"TITLE: ANNOYING ball game
GENRE: Casual, Free to Play
DEVELOPER: Moronicbody, Elf
PUBLISHER: MB Studios
RELEASE DATE: 20 Aug, 2020","20 Aug, 2020",Casual Platformer 3D Platformer 3D Physics +,3
Re: Award,,,,Free,,(14 reviews),Sonic-Alpha,Sonic-Beta,Mixed,,"TITLE: Re: Award
GENRE: Action, Free to Play, Indie
DEVELOPER: Sonic-Alpha
PUBLISHER: Sonic-Beta
FRANCHISE: Easy to enjoy
RELEASE DATE: 31 May, 2021","31 May, 2021",Exploration Collectathon Hidden Object 3D +,
Deadly Forest,,,,Free,,(13 reviews),Free Initiative Games,Free Initiative Games,Mixed,,"TITLE: Deadly Forest
GENRE: Action, Adventure
DEVELOPER: Free Initiative Games
PUBLISHER: Free Initiative Games
RELEASE DATE: 29 Aug, 2020
EARLY ACCESS RELEASE DATE: 29 Aug, 2020","29 Aug, 2020",Adventure Point & Click Survival Horror Realistic +,
From The Grave,,,,Free,,(21 reviews),Esteban Jauregui,Esteban Jauregui,Mixed,,"TITLE: From The Grave
GENRE: Action, Free to Play, Indie
DEVELOPER: Esteban Jauregui
PUBLISHER: Esteban Jauregui
RELEASE DATE: 2 Jul, 2020","2 Jul, 2020",FPS Action Survival Horror Shooter Horror +,
Mist of the Undead,,,,Free,,(21 reviews),Hayden,Hayden,Mixed,,"TITLE: Mist of the Undead
GENRE: Action, Casual, Free to Play, Indie, RPG
DEVELOPER: Hayden, Rothman
PUBLISHER: Hayden , Rothman
RELEASE DATE: 9 Sep, 2020","9 Sep, 2020",Singleplayer Zombies Survival First-Person +,
The Way of Cinnamon,,,,Free,,(24 reviews),Purple Giraffe Games,Purple Giraffe Games,Mixed,,"TITLE: The Way of Cinnamon
GENRE: Action, Adventure, Indie
DEVELOPER: Purple Giraffe Games
PUBLISHER: Purple Giraffe Games
FRANCHISE: The Way of Cinnamon
RELEASE DATE: 15 Jul, 2019","15 Jul, 2019",Action Indie Adventure 3D Platformer +,
