title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Deadly Rescue,"9,99€",,,,,(6 reviews),Wisdom Emprie,Wisdom Emprie,6 user reviews,,"TITLE: Deadly Rescue
GENRE: Adventure, Indie
DEVELOPER: Wisdom Emprie
PUBLISHER: Wisdom Emprie
RELEASE DATE: 11 Aug, 2017","11 Aug, 2017",Adventure Indie Violent VR +,
Clash of Robots,,,,,,,Timuz Games,Timuz Games,,,"TITLE: Clash of Robots
GENRE: Action, Massively Multiplayer, RPG, Strategy
DEVELOPER: Timuz Games
PUBLISHER: Timuz Games
RELEASE DATE: 9 Nov, 2017","9 Nov, 2017",Action Massively Multiplayer Strategy RPG +,
Through The Dark: Prologue,"9,99€",,,,,(2 reviews),6waves,6waves,2 user reviews,,"TITLE: Through The Dark: Prologue
GENRE: Action, Adventure, Indie, RPG, Strategy
DEVELOPER: 6waves
PUBLISHER: 6waves
RELEASE DATE: 7 May, 2017","7 May, 2017",Adventure RPG Indie Strategy Action VR +,
TEEN DATE SIMULATOR,,,,,,(1 reviews),Creativ Game Developer LLC,Creativ Game Developer LLC,1 user reviews,,"TITLE: TEEN DATE SIMULATOR
GENRE: Casual, RPG, Simulation, Strategy
DEVELOPER: Creativ Game Developer LLC
PUBLISHER: Creativ Game Developer LLC
RELEASE DATE: 14 Nov, 2017","14 Nov, 2017",Casual Simulation Strategy RPG +,
RibbonChase,"9,99€",,,,,(1 reviews),Captain,Captain,1 user reviews,,"TITLE: RibbonChase
GENRE: Casual, Racing
DEVELOPER: Captain
PUBLISHER: Captain
RELEASE DATE: 14 Nov, 2017","14 Nov, 2017",Casual Racing VR Flight +,
Armed Warrior VR,"9,99€",,,,,(4 reviews),antrorse,antrorse,4 user reviews,,"TITLE: Armed Warrior VR
GENRE: Action
DEVELOPER: antrorse
PUBLISHER: antrorse
RELEASE DATE: 31 Oct, 2017","31 Oct, 2017",Action Gore VR +,
BrambleLash,,,,,,(8 reviews),Bytesprite,Bytesprite,8 user reviews,,"TITLE: BrambleLash
GENRE: Action, Casual, Indie
DEVELOPER: Bytesprite
PUBLISHER: Bytesprite
RELEASE DATE: 13 Sep, 2017","13 Sep, 2017",Action Indie Casual Local Co-Op Co-op +,
Torn Familjen,,,,,,,Paper Rose Games,Paper Rose Games,,,"TITLE: Torn Familjen
GENRE: Casual, RPG, Strategy
DEVELOPER: Paper Rose Games
PUBLISHER: Paper Rose Games
RELEASE DATE: 8 Sep, 2017","8 Sep, 2017",Casual RPG Strategy RPGMaker +,
Demon Grade VR,"9,99€",,,,,(1 reviews),"Richard Stenson, Solus Games","Solus Games, Inc.",1 user reviews,,"TITLE: Demon Grade VR
GENRE: Action, Indie
DEVELOPER: Richard Stenson, Solus Games
PUBLISHER: Solus Games, Inc.
RELEASE DATE: 27 Oct, 2017","27 Oct, 2017",Action Indie VR +,
VR Guest,"8,19€",,,,,(2 reviews),Alison M. Bailey,Chronos Development Studios,2 user reviews,,"TITLE: VR Guest
GENRE: Adventure, Casual, Indie, Simulation
DEVELOPER: Alison M. Bailey, Chronos Development Studios
PUBLISHER: Chronos Development Studios
RELEASE DATE: 1 Jun, 2017","1 Jun, 2017",Adventure Indie Casual Simulation VR +,
The Trace,,,,,,(2 reviews),shenzhen YuHui Technologyco.LTD,shenzhen YuHui Technologyco.LTD,2 user reviews,,"TITLE: The Trace
GENRE: Adventure
DEVELOPER: shenzhen YuHui Technologyco.LTD
PUBLISHER: shenzhen YuHui Technologyco.LTD
RELEASE DATE: 12 Sep, 2017","12 Sep, 2017",Adventure VR +,
Fake Happy End,,,,,,(7 reviews),Neo Kuriyo,Neo Kuriyo,7 user reviews,,"TITLE: Fake Happy End
GENRE: Indie, RPG
DEVELOPER: Neo Kuriyo
PUBLISHER: Neo Kuriyo
RELEASE DATE: 22 Jan, 2017","22 Jan, 2017",Indie RPG Nudity RPGMaker +,
The Mice of Riddle Place: The Incident of Izzy Ramirez,,,,,,,"Meadowlark Science and Education, LLC","Meadowlark Science and Education, LLC",,,"TITLE: The Mice of Riddle Place: The Incident of Izzy Ramirez
GENRE: Adventure, Casual, Indie
DEVELOPER: Meadowlark Science and Education, LLC
PUBLISHER: Meadowlark Science and Education, LLC
RELEASE DATE: 1 Sep, 2017","1 Sep, 2017",Adventure Indie Casual +,
Drift Masters,Bundle info,,,,,,Polantronic,Polantronic,,,"TITLE: Drift Masters
GENRE: Casual, Indie, Racing, Simulation, Sports
DEVELOPER: Polantronic
PUBLISHER: Polantronic
RELEASE DATE: 24 Dec, 2019","24 Dec, 2019",Indie Casual Sports Simulation Racing +,
KobberParty - Castle Explorer,,,,,,(3 reviews),MightyCodeDragon,MightyCodeDragon,3 user reviews,,"TITLE: KobberParty - Castle Explorer
GENRE: Casual, Indie, Massively Multiplayer
DEVELOPER: MightyCodeDragon
PUBLISHER: MightyCodeDragon
RELEASE DATE: 20 Mar, 2020","20 Mar, 2020",Massively Multiplayer Indie Casual Multiplayer +,
Woebegone Woods,,,,,,(2 reviews),Woebegone Interactive LLC,Woebegone Interactive LLC,2 user reviews,,"TITLE: Woebegone Woods
GENRE: Casual, Indie, Strategy
DEVELOPER: Woebegone Interactive LLC
PUBLISHER: Woebegone Interactive LLC
RELEASE DATE: 7 May, 2021","7 May, 2021",Visual Novel 2D Colorful Cute Hand-drawn +,
Levers & Buttons,"3,99€",,,,,(3 reviews),5 Hours of Sleep,5 Hours of Sleep,3 user reviews,,"TITLE: Levers & Buttons
GENRE: Indie
DEVELOPER: 5 Hours of Sleep
PUBLISHER: 5 Hours of Sleep
RELEASE DATE: 13 Apr, 2019","13 Apr, 2019",Indie VR Puzzle Local Co-Op Co-op +,
Jet Ant,,,,,,(8 reviews),TK,TK,8 user reviews,,"TITLE: Jet Ant
GENRE: Casual, Indie, Simulation
DEVELOPER: TK
PUBLISHER: TK
RELEASE DATE: 20 Sep, 2018","20 Sep, 2018",Casual Indie Simulation +,
Diacrisis,,,,,,(2 reviews),Luan Prates de Souza,Luan Prates de Souza,2 user reviews,,"TITLE: Diacrisis
GENRE: Action, Adventure, Indie
DEVELOPER: Luan Prates de Souza
PUBLISHER: Luan Prates de Souza
RELEASE DATE: 26 Apr, 2019","26 Apr, 2019",Action Indie Adventure Gore Violent 2D +,
The Purification,,,,,,(3 reviews),JK Productions,JK Productions,3 user reviews,,"TITLE: The Purification
GENRE: Action, Indie, Early Access
DEVELOPER: JK Productions
PUBLISHER: JK Productions
RELEASE DATE: 20 Nov, 2020
EARLY ACCESS RELEASE DATE: 20 Nov, 2020","20 Nov, 2020",Indie Action Survival 3D First-Person +,
King Randall's Party,,,,,,(2 reviews),Gorilla Tactics,Gorilla Tactics,2 user reviews,,"TITLE: King Randall's Party
GENRE: Casual, Indie, Strategy
DEVELOPER: Gorilla Tactics
PUBLISHER: Gorilla Tactics
RELEASE DATE: 22 Jan, 2019
EARLY ACCESS RELEASE DATE: 28 Nov, 2018","22 Jan, 2019",Casual Strategy Indie +,
Super Chicken Catchers,,,,,,(5 reviews),White Smoke Games,White Smoke Games,5 user reviews,,"TITLE: Super Chicken Catchers
GENRE: Action, Indie, Sports
DEVELOPER: White Smoke Games
PUBLISHER: White Smoke Games
FRANCHISE: Super Chicken Catchers
RELEASE DATE: 18 Feb, 2020
EARLY ACCESS RELEASE DATE: 18 Apr, 2019","18 Feb, 2020",Action Indie Sports Co-op Online Co-Op +,
Astrela Starlight,,,,,,(2 reviews),Master Plan Multimedia,Master Plan Multimedia,2 user reviews,,"TITLE: Astrela Starlight
GENRE: Adventure, Indie, RPG, Simulation
DEVELOPER: Master Plan Multimedia
PUBLISHER: Master Plan Multimedia
RELEASE DATE: 10 Apr, 2020","10 Apr, 2020",Indie Adventure RPG Simulation +,87
Kill The Monster,,,,,,(3 reviews),Bon,Bon,3 user reviews,,"TITLE: Kill The Monster
GENRE: Adventure, Indie, Simulation
DEVELOPER: Bon
PUBLISHER: Bon
RELEASE DATE: 13 Jul, 2018","13 Jul, 2018",Indie Simulation Adventure +,
Talshard,,,,,,,Toblue,Toblue,,,"TITLE: Talshard
GENRE: Adventure, Casual, Indie, RPG, Strategy
DEVELOPER: Toblue
PUBLISHER: Toblue
RELEASE DATE: 5 Feb, 2020
EARLY ACCESS RELEASE DATE: 8 Jan, 2020","5 Feb, 2020",Adventure Indie RPG Strategy Casual 2D +,
