title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Divine Favor,,,,,,(11 reviews),Samantha Arehart,Samantha Arehart,Positive,,"TITLE: Divine Favor
GENRE: Casual, Indie
DEVELOPER: Samantha Arehart
PUBLISHER: Samantha Arehart
RELEASE DATE: 19 Jul, 2020","19 Jul, 2020",Casual Text-Based Psychological Horror Horror +,
Lost in the tomb,,,,,,(10 reviews),Sokolab,Paper Pirates,Positive,,"TITLE: Lost in the tomb
GENRE: Adventure, Casual, Indie, Strategy
DEVELOPER: Sokolab
PUBLISHER: Paper Pirates
RELEASE DATE: 10 Nov, 2017","10 Nov, 2017",Strategy Casual Adventure Indie Puzzle +,
Kith - Tales from the Fractured Plateaus,,,,Free,,(47 reviews),Screwy Lightbulb,Screwy Lightbulb,Positive,,"TITLE: Kith - Tales from the Fractured Plateaus
GENRE: Adventure, Casual, Free to Play, Indie
DEVELOPER: Screwy Lightbulb
PUBLISHER: Screwy Lightbulb
RELEASE DATE: 5 Apr, 2017","5 Apr, 2017",Adventure Free to Play Indie Casual +,
SmFly: Gravity Adventure,Bundle info,,,,,(15 reviews),Dnovel,Dnovel,Positive,,"TITLE: SmFly: Gravity Adventure
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Dnovel
PUBLISHER: Dnovel
FRANCHISE: SAMS
RELEASE DATE: 2 Oct, 2020
EARLY ACCESS RELEASE DATE: 13 Sep, 2020","2 Oct, 2020",Action Adventure Casual Arcade Platformer +,
Booobjz,"4,99€",,,Booobjz Demo,,(15 reviews),FreeAnimals_Software,FreeAnimals_Software,Positive,,"TITLE: Booobjz
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: FreeAnimals_Software, Dnovel
PUBLISHER: FreeAnimals_Software
FRANCHISE: AVA, BlackEye, Booobjz
RELEASE DATE: 28 Feb, 2021
EARLY ACCESS RELEASE DATE: 14 Aug, 2020","28 Feb, 2021",Action Indie Casual Adventure Platformer +,2
While you are Downloading,,,,,,(16 reviews),Alien Nude LTD,Alien Nude LTD,Positive,,"TITLE: While you are Downloading
GENRE: Action, Indie, Early Access
DEVELOPER: Alien Nude LTD
PUBLISHER: Alien Nude LTD
RELEASE DATE: 2 Mar, 2018","2 Mar, 2018",Indie Arcade Shoot 'Em Up Casual Action +,
Swipecart,,,,,,(10 reviews),Micro Factory Games,Micro Factory Games,Positive,,"TITLE: Swipecart
GENRE: Casual, Indie, Racing
DEVELOPER: Micro Factory Games
PUBLISHER: Micro Factory Games
RELEASE DATE: 8 May, 2014","8 May, 2014",Indie Racing Casual +,
Assault Suit Leynos,,,,,,(103 reviews),Dracue Software,Rising Star Games,Mixed,,"TITLE: Assault Suit Leynos
GENRE: Action
DEVELOPER: Dracue Software
PUBLISHER: Rising Star Games
RELEASE DATE: 30 Aug, 2016","30 Aug, 2016",Action Mechs Robots Anime Shoot 'Em Up +,
Mass O' Kyzt,,,,,,(11 reviews),AlexHoratio,AlexHoratio,Positive,,"TITLE: Mass O' Kyzt
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: AlexHoratio, Alex Carpenter
PUBLISHER: AlexHoratio, Alex Carpenter
RELEASE DATE: 1 Jul, 2018","1 Jul, 2018",Indie Casual Adventure +,
Disparity,,,,,,(21 reviews),tamationgames,tamationgames,Positive,,"TITLE: Disparity
GENRE: Indie, Strategy
DEVELOPER: tamationgames
PUBLISHER: tamationgames
RELEASE DATE: 5 Oct, 2017","5 Oct, 2017",Indie Strategy Platformer +,
