title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
A Demon's Game - Episode 1,,,,,,(27 reviews),RP Studios,RP Studios,Mixed,,"TITLE: A Demon's Game - Episode 1
GENRE: Action, Adventure, Indie
DEVELOPER: RP Studios
PUBLISHER: RP Studios
RELEASE DATE: 9 Feb, 2017","9 Feb, 2017",Action Adventure Indie Gore Violent +,
Frequency Garden,"0,79€",,,,,(13 reviews),GeneralKnow,Tyler del Giudice,Mixed,,"TITLE: Frequency Garden
GENRE: Adventure, Casual, Indie
DEVELOPER: GeneralKnow
PUBLISHER: Tyler del Giudice
RELEASE DATE: 11 Nov, 2019","11 Nov, 2019",Adventure Indie Casual VR +,
Dyadic,"9,99€",,,Dyadic Demo,,(11 reviews),Handsome Dragon Games,Handsome Dragon Games,Mixed,,"TITLE: Dyadic
GENRE: Indie
DEVELOPER: Handsome Dragon Games
PUBLISHER: Handsome Dragon Games
RELEASE DATE: 25 Feb, 2016","25 Feb, 2016",Indie Local Co-Op Puzzle Platformer +,
BiT Evolution,,,,,,(22 reviews),Major Games,Major Games,Mixed,,"TITLE: BiT Evolution
GENRE: Action, Adventure, Indie
DEVELOPER: Major Games
PUBLISHER: Major Games
RELEASE DATE: 9 Jun, 2015","9 Jun, 2015",Adventure Indie Action Platformer Retro +,
I Shall Remain,,,,,,(92 reviews),Scorpius Games,Scorpius Games,Mixed,,"TITLE: I Shall Remain
GENRE: Action, Indie, RPG
DEVELOPER: Scorpius Games
PUBLISHER: Scorpius Games
RELEASE DATE: 24 Aug, 2015","24 Aug, 2015",Indie RPG Action Post-apocalyptic Survival +,
Pe-2: Dive Bomber,,,,,,(12 reviews),Polynetix Studio,Polynetix Studio,Mixed,,"TITLE: Pe-2: Dive Bomber
GENRE: Indie, Simulation
DEVELOPER: Polynetix Studio
PUBLISHER: Polynetix Studio
RELEASE DATE: 7 Nov, 2007","7 Nov, 2007",Simulation Indie +,
Path to the Sky,,,,,,(30 reviews),,,Mixed,,"TITLE: Path to the Sky
GENRE: Action, Adventure, Indie, RPG, Early Access
RELEASE DATE: 2 Feb, 2016","2 Feb, 2016",Action Roguelike Indie Early Access Adventure +,
Greenwood the Last Ritual,,,,,,(19 reviews),AO2Game,AO2Game,Mixed,,"TITLE: Greenwood the Last Ritual
GENRE: Adventure, Indie
DEVELOPER: AO2Game
PUBLISHER: AO2Game
RELEASE DATE: 19 Jan, 2017","19 Jan, 2017",Adventure Gore Violent Indie Mystery +,
Infinium Strike,"9,99€",,,Infinium Strike Demo,,(40 reviews),Codex Worlds,1C Entertainment,Mixed,,"TITLE: Infinium Strike
GENRE: Action, Casual, Indie, Strategy
DEVELOPER: Codex Worlds
PUBLISHER: 1C Entertainment
RELEASE DATE: 14 Jul, 2016","14 Jul, 2016",Strategy Action Indie Casual Tower Defense +,
Tainted Fate,"8,19€",,,,,(18 reviews),Delta Reality,Delta Reality,Mixed,,"TITLE: Tainted Fate
GENRE: Action, Adventure, Indie
DEVELOPER: Delta Reality, Misfit Village
PUBLISHER: Delta Reality, Misfit Village
RELEASE DATE: 29 Oct, 2020
EARLY ACCESS RELEASE DATE: 28 May, 2018","29 Oct, 2020",Action Indie Gore Violent Adventure VR +,
