title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
Gravity Vector,,,,,,(5 reviews),POLIEXA Entertainment,POLIEXA Entertainment,5 user reviews,,"TITLE: Gravity Vector
GENRE: Action, Casual, Simulation
DEVELOPER: POLIEXA Entertainment
PUBLISHER: POLIEXA Entertainment
RELEASE DATE: 28 Jun, 2019","28 Jun, 2019",Action Casual Simulation Space Funny +,
Electronic World Z,Bundle info,,,,,,Anamik Majumdar,Anamik Majumdar,,,"TITLE: Electronic World Z
GENRE: Adventure, Casual, Indie
DEVELOPER: Anamik Majumdar
PUBLISHER: Anamik Majumdar
RELEASE DATE: 11 Sep, 2020","11 Sep, 2020",Adventure Casual Platformer Stealth Indie +,
Girls and Tests,Bundle info,,,,,,morojenoe's empire,morojenoe's empire,,,"TITLE: Girls and Tests
GENRE: Casual, Indie
DEVELOPER: morojenoe's empire
PUBLISHER: morojenoe's empire
RELEASE DATE: 23 Nov, 2018","23 Nov, 2018",Indie Casual +,
Abandoned Hospital VR,,,,,,(4 reviews),munsunghyun,munsunghyun,4 user reviews,,"TITLE: Abandoned Hospital VR
GENRE: Adventure, Indie
DEVELOPER: munsunghyun
PUBLISHER: munsunghyun
RELEASE DATE: 3 Aug, 2016","3 Aug, 2016",Indie Adventure VR Horror +,
Winter's Trumpet,,,,,,(2 reviews),Sun Labyrinth LLC,Sun Labyrinth LLC,2 user reviews,,"TITLE: Winter's Trumpet
GENRE: Adventure, Casual, Indie
DEVELOPER: Sun Labyrinth LLC
PUBLISHER: Sun Labyrinth LLC
FRANCHISE: World of Aeser
RELEASE DATE: 3 Jun, 2020","3 Jun, 2020",Adventure Supernatural Romance Fantasy +,
Golden Key,,,,,,(5 reviews),SVGames,SVGames,5 user reviews,,"TITLE: Golden Key
GENRE: Casual, Indie, RPG, Simulation, Strategy, Early Access
DEVELOPER: SVGames
PUBLISHER: SVGames
RELEASE DATE: 29 May, 2019
EARLY ACCESS RELEASE DATE: 29 May, 2019","29 May, 2019",Casual Simulation Indie Early Access RPG +,
Galaxy of Drones,,,,,,(7 reviews),Koodilab,Koodilab,7 user reviews,,"TITLE: Galaxy of Drones
GENRE: Indie, Strategy
DEVELOPER: Koodilab
PUBLISHER: Koodilab
RELEASE DATE: 1 Aug, 2017","1 Aug, 2017",Strategy Indie Tower Defense Sci-fi +,
Urbance Clans Card Battle!,,,,,,(9 reviews),Steambot,Plug In Digital,9 user reviews,,"TITLE: Urbance Clans Card Battle!
GENRE: Indie, Strategy
DEVELOPER: Steambot, Fishing Cactus
PUBLISHER: Plug In Digital
FRANCHISE: Plug In Digital
RELEASE DATE: 3 Oct, 2018","3 Oct, 2018",Strategy Indie Card Game +,
Hunting fields of Jackals,,,,,,(3 reviews),squatnine,squatnine,3 user reviews,,"TITLE: Hunting fields of Jackals
GENRE: Action, Indie, Racing, Early Access
DEVELOPER: squatnine
PUBLISHER: squatnine
RELEASE DATE: 15 Apr, 2019
EARLY ACCESS RELEASE DATE: 15 Apr, 2019","15 Apr, 2019",Indie Action Early Access Racing Shooter +,
Sheng Tian (升天) - Episode 1,,,,,,(5 reviews),"East Bay Immersive Games, LLC","East Bay Immersive Games, LLC",5 user reviews,,"TITLE: Sheng Tian (升天) - Episode 1
GENRE: Indie, Early Access
DEVELOPER: East Bay Immersive Games, LLC
PUBLISHER: East Bay Immersive Games, LLC
RELEASE DATE: 1 Oct, 2020","1 Oct, 2020",Education Word Game Futuristic Puzzle 3D +,
